,Pharyngeal Mesoderm/Neural Crest_corr,Pharyngeal Mesoderm/Neural Crest_pval,Pharyngeal Mesoderm/Neural Crest_qval,Pharyngeal Mesoderm/Neural Crest_ci_low,Pharyngeal Mesoderm/Neural Crest_ci_high,gene_annotation
ENSMUSG00000031955,-0.04027937778674306,3.705188700131609e-11,6.681585968830795e-11,-0.05219383783648351,-0.028353452464439217,Bcar1
ENSMUSG00000104638,-0.04028097972361088,3.6985971042224365e-11,6.670189224538656e-11,-0.052195438005489085,-0.02835505571466987,Gm43716
ENSMUSG00000048628,-0.04028228808411609,3.6932220204392656e-11,6.660984870772412e-11,-0.052196744922071076,-0.02835636514789212,4930542C16Rik
ENSMUSG00000043592,-0.04028292559218881,3.690605742447503e-11,6.656755229839193e-11,-0.052197381726567016,-0.028357003178668762,Unc5cl
ENSMUSG00000078453,-0.04028412406436337,3.685692224640419e-11,6.648381125514038e-11,-0.05219857887603848,-0.02835820263351776,Abracl
ENSMUSG00000044433,-0.04028521739202175,3.6812153638244175e-11,6.640793505702946e-11,-0.05219967099700744,-0.028359296857668404,Camsap3
ENSMUSG00000044487,-0.04028838406870234,3.668278740732449e-11,6.617942511754213e-11,-0.05220283417851346,-0.028362466131079685,Olfr1112
ENSMUSG00000090751,-0.04028920342932404,3.664938709586522e-11,6.612402645338645e-11,-0.05220365263473852,-0.028363286163630572,Vmn2r63
ENSMUSG00000096265,-0.040290537596844485,3.6595064928110724e-11,6.603086897295322e-11,-0.05220498532959281,-0.028364621425289827,4930467E23Rik
ENSMUSG00000002210,-0.040290707832360245,3.65881392632338e-11,6.602322469431988e-11,-0.05220515537719801,-0.02836479180041727,Smg9
ENSMUSG00000025573,-0.0402921387481373,3.652997621435122e-11,6.592311473831322e-11,-0.05220658471346433,-0.028366223889728637,6030468B19Rik
ENSMUSG00000056458,-0.04029295622940286,3.649678831972597e-11,6.586806430652103e-11,-0.052207401292334504,-0.02836704204145557,Mok
ENSMUSG00000032092,-0.0402973562584133,3.6318663201704245e-11,6.55514091691717e-11,-0.052211796463998664,-0.02837144567944639,Mpzl2
ENSMUSG00000071567,-0.04029977778988075,3.622099623159704e-11,6.537993673563965e-11,-0.052214215322055724,-0.02837386919729358,A830039N20Rik
ENSMUSG00000016024,-0.04030007299419015,3.6209107425528027e-11,6.536328251684171e-11,-0.05221451020044518,-0.028374164643768362,Lbp
ENSMUSG00000029446,-0.04031359466355797,3.5668621216945244e-11,6.439235206753233e-11,-0.05222801693900359,-0.028387697407620188,Psph
ENSMUSG00000071000,-0.040314726494280785,3.56237395901944e-11,6.43160566525813e-11,-0.05222914751974597,-0.02838883016720456,Olfr155
ENSMUSG00000040489,-0.04031494934668416,3.5614909112598284e-11,6.430484251599595e-11,-0.0522293701260302,-0.028389053202500233,Sox30
ENSMUSG00000034035,-0.04031760553633499,3.550982294754056e-11,6.411981856350782e-11,-0.05223202338208261,-0.028391711572145453,Ccdc17
ENSMUSG00000030844,-0.04032143896250715,3.5358696801438504e-11,6.385162723366566e-11,-0.05223585257417434,-0.02839554814479383,Rgs10
ENSMUSG00000022174,-0.04032871402714769,3.507361869150482e-11,6.33414848189648e-11,-0.0522431196024264,-0.028402829181773597,Dad1
ENSMUSG00000078921,-0.040329064076015136,3.5059958662241446e-11,6.332147308190025e-11,-0.05224346926458111,-0.028403179518039553,Tgtp2
ENSMUSG00000028865,-0.040329825611780945,3.5030259074603906e-11,6.32724873684746e-11,-0.052244229959038345,-0.0284039416790546,Cd164l2
