,Neural Crest/Mid-HindBrain_corr,Neural Crest/Mid-HindBrain_pval,Neural Crest/Mid-HindBrain_qval,Neural Crest/Mid-HindBrain_ci_low,Neural Crest/Mid-HindBrain_ci_high,gene_annotation
ENSMUSG00000022323,-0.0012278914676187877,0.8402625532919118,0.8466767712559722,-0.013167259439674856,0.01071182658342193,Rida
ENSMUSG00000041703,-0.0012284932612685357,0.8401853205640485,0.8466336954848561,-0.01316786112989045,0.010711224857912373,Zic5
ENSMUSG00000030413,-0.0012429512064587023,0.8383302872897158,0.8447990975840216,-0.013182316587501222,0.010696768547174239,Pglyrp1
ENSMUSG00000006930,-0.0012615195830040908,0.8359491818092717,0.842503358309644,-0.013200881761921426,0.01067820226243868,Hap1
ENSMUSG00000091086,-0.001265930923346098,0.8353837160815125,0.8419680212328939,-0.013205292340315635,0.01067379141784348,Rpl6l
ENSMUSG00000078566,-0.0012706739158989768,0.834775832577797,0.8414244289945837,-0.013210034513117854,0.010669048957790162,Bnip3
ENSMUSG00000029123,-0.00128463339253535,0.83298729660011,0.8396905939450607,-0.013223991573964648,0.010655091045278538,Stk32b
ENSMUSG00000002870,-0.0012993985739143976,0.8310964713426228,0.8378877577466461,-0.013238754195058105,0.010640327513238084,Mcm2
ENSMUSG00000037907,-0.001315016009289971,0.8290975702779204,0.8359411747141186,-0.013254368916702832,0.010624711816737027,Ankrd13b
ENSMUSG00000061576,-0.0013203839144620593,0.8284107780406763,0.8353173199086075,-0.013259735887787451,0.010619344507892729,Dpp6
ENSMUSG00000046934,-0.0013311219126310293,0.8270373077093526,0.8340009027346296,-0.013270472015336274,0.010608607700557693,Csl
