,Mesenchyme_2_corr,Mesenchyme_2_pval,Mesenchyme_2_qval,Mesenchyme_2_ci_low,Mesenchyme_2_ci_high,gene_annotation
ENSMUSG00000035021,-0.09104301020439103,8.055741928169524e-164,1.760048487692708e-163,-0.0975447501190096,-0.08453349942516213,Baz1a
ENSMUSG00000105550,-0.09112551684400967,4.0843422954851775e-164,8.929475941156925e-164,-0.09762715470310447,-0.0846161011959263,Gm42586
ENSMUSG00000029014,-0.09125242669633513,1.4350050759879963e-164,3.1407421229765734e-164,-0.09775390740189953,-0.08474315755148504,Dnajc2
ENSMUSG00000061232,-0.09126310952446386,1.3139694507980077e-164,2.876465522762714e-164,-0.09776457699176824,-0.0847538527214036,H2-K1
ENSMUSG00000024790,-0.0912900628524889,1.0519918983311109e-164,2.303463758114979e-164,-0.09779149691233603,-0.08478083719506911,Sac3d1
ENSMUSG00000059851,-0.09137765344184734,5.10478477434035e-165,1.1182442002936143e-164,-0.09787897887133999,-0.08486852906476239,Kmt5c
ENSMUSG00000027867,-0.09139438843770198,4.445731145877018e-165,9.74300053884948e-165,-0.09789569310092423,-0.08488528342263908,Spag17
ENSMUSG00000002257,-0.09152728804220116,1.4817949554361135e-165,3.2524033262425667e-165,-0.09802842766156632,-0.08501833691974106,Def6
ENSMUSG00000024422,-0.09153605767660172,1.3780889568760568e-165,3.025442276346996e-165,-0.09803718639709749,-0.08502711671720355,Dhx16
ENSMUSG00000026158,-0.09156532175483381,1.081692760742364e-165,2.376302198467408e-165,-0.09806641409875276,-0.0850564147166653,Ogfrl1
ENSMUSG00000059305,-0.09178441229691912,1.7604206177509064e-166,3.871609011987918e-166,-0.09828523194506983,-0.08527575957342835,Vpreb1
ENSMUSG00000008153,-0.09187805728123696,8.091146954791649e-167,1.781406198765224e-166,-0.0983787601803762,-0.0853695134508962,Clstn3
ENSMUSG00000042106,-0.09237823144414312,1.2555903555880978e-168,2.7753986639878374e-168,-0.09887830882169155,-0.08587027118292563,Fam212a
ENSMUSG00000023456,-0.09239350838105807,1.1051789214814758e-168,2.444004691467218e-168,-0.09889356660159272,-0.08588556599567779,Tpi1
ENSMUSG00000029802,-0.09241163400455767,9.498866762845268e-169,2.1010543602842883e-168,-0.09891166949191069,-0.08590371283229621,Abcg2
ENSMUSG00000068263,-0.09242005732539736,8.853337641885755e-169,1.9587030181163174e-168,-0.09892008224674563,-0.08591214601274398,Efcc1
ENSMUSG00000001281,-0.09242190124539386,8.717979037539692e-169,1.9291832346845965e-168,-0.09892192385365066,-0.08591399209119756,Itgb7
ENSMUSG00000028893,-0.09254135506837342,3.211087774736592e-169,7.112043797866206e-169,-0.09904122773381277,-0.08603358583973132,Sesn2
ENSMUSG00000022773,-0.09254551513760707,3.101242523184345e-169,6.870275859956457e-169,-0.09904538257780786,-0.08603775078535707,Ypel1
ENSMUSG00000097567,-0.09286814655356462,2.0752829937403043e-170,4.6096912344298185e-170,-0.09936760806349597,-0.08636076107955101,Gm26637
ENSMUSG00000028607,-0.09287237907213394,2.0028212439534532e-170,4.449725047663749e-170,-0.09937183524771194,-0.08636499857761815,Cpt2
ENSMUSG00000061882,-0.09300094174546633,6.799203543955884e-171,1.5116059457438606e-170,-0.09950023577837376,-0.08649371261530052,Ccdc62
ENSMUSG00000001588,-0.09301565435780278,6.007900486610408e-171,1.3359796501246183e-170,-0.09951492982142679,-0.08650844256350834,Acap1
ENSMUSG00000026648,-0.09328376670392165,6.280124576757582e-172,1.399314745266841e-171,-0.09978270327742064,-0.08677687132473771,Dclre1c
ENSMUSG00000052013,-0.09336102296492484,3.272127272419792e-172,7.2940866527414e-172,-0.09985986171292319,-0.08685421893573442,Btla
ENSMUSG00000022906,-0.09338029415491719,2.7807728531630875e-172,6.201545167625084e-172,-0.09987910848865107,-0.08687351292475305,Parp9
ENSMUSG00000070425,-0.0934553444985072,1.4751114304591027e-172,3.291190161666896e-172,-0.0999540637061923,-0.08694865210412678,Xntrpc
ENSMUSG00000109771,-0.09355676103879619,6.257407844392316e-173,1.397366646804894e-172,-0.10005535158418882,-0.08705018880702023,Gm35315
