,NMP_corr,NMP_pval,NMP_qval,NMP_ci_low,NMP_ci_high,gene_annotation
ENSMUSG00000034951,0.3901426662370893,0.0,0.0,0.38456690404595684,0.39568996079970853,Cog7
ENSMUSG00000036249,0.3900775158620099,0.0,0.0,0.384501421749098,0.3956251453937386,Rbm43
ENSMUSG00000022449,0.3900767137164986,0.0,0.0,0.3845006155172437,0.39562434737209506,Adamts20
ENSMUSG00000021377,0.38990348702149985,0.0,0.0,0.38432650655856626,0.3954520110474307,Dek
ENSMUSG00000097986,0.38989284210467906,0.0,0.0,0.384315807438886,0.3954414208318268,Gm26953
ENSMUSG00000054999,0.3898704618018344,0.0,0.0,0.38429331318264726,0.39541915553021745,Naaladl1
ENSMUSG00000013584,0.3898553666376664,0.0,0.0,0.384278141162437,0.39540413792890117,Aldh1a2
ENSMUSG00000021302,0.3897934119667707,0.0,0.0,0.38421587108493666,0.39534250156602946,Ggps1
ENSMUSG00000051344,0.38978160178470755,0.0,0.0,0.38420400078387695,0.39533075205613705,Plekhm3
ENSMUSG00000020072,0.38973783345205815,0.0,0.0,0.3841600096673351,0.39528720855767885,Pbld2
ENSMUSG00000066148,0.38965134799310785,0.0,0.0,0.3840730840657794,0.3952011672938218,Prpf4
ENSMUSG00000020193,0.38963660450090254,0.0,0.0,0.38405826555072153,0.3951864995154617,Zpbp
ENSMUSG00000001583,0.3895588625835564,0.0,0.0,0.38398012808803256,0.39510915678776143,Tnk1
ENSMUSG00000026494,0.38950386747655596,0.0,0.0,0.3839248532180957,0.3950544440224339,Kif26b
ENSMUSG00000028224,0.3895002765615151,0.0,0.0,0.38392124403727607,0.39505087154157204,Nbn
ENSMUSG00000054702,0.38935640814563216,0.0,0.0,0.3837766439513162,0.39490774154477853,Ap1s3
ENSMUSG00000034620,0.38930591430313216,0.0,0.0,0.3837258933776904,0.39485750680310805,Tmem5
ENSMUSG00000018451,0.38929880365842556,0.0,0.0,0.38371874658229665,0.39485043264283626,6330403K07Rik
ENSMUSG00000038550,0.38927519443743974,0.0,0.0,0.3836950173362628,0.39482694455510176,Ciart
ENSMUSG00000032854,0.3892716779931444,0.0,0.0,0.3836914830156255,0.3948234461522179,Ugt8a
ENSMUSG00000075289,0.38921770209923995,0.0,0.0,0.38363723274814165,0.3947697471659494,Carns1
ENSMUSG00000060860,0.38921102330076063,0.0,0.0,0.38363052000226144,0.3947631026284675,Ube2s
ENSMUSG00000029754,0.38920160265599746,0.0,0.0,0.38362105147467784,0.3947537303088772,Dlx6
ENSMUSG00000049928,0.3891572835899008,0.0,0.0,0.38357650716141145,0.3947096385712201,Glp2r
ENSMUSG00000039810,0.38890110753709917,0.0,0.0,0.3833190296285892,0.39445477603646784,Zc3h10
ENSMUSG00000026234,0.3887504535072597,0.0,0.0,0.38316761061927557,0.39430489407167624,Ncl
ENSMUSG00000046546,0.3886958228908368,0.0,0.0,0.3831127026778319,0.394250543350792,Fam43a
ENSMUSG00000020814,0.38852046052971007,0.0,0.0,0.3829364503797237,0.3940760791819658,Mxra7
ENSMUSG00000037686,0.388329042575893,0.0,0.0,0.38274406147335055,0.3938856411988962,Aspg
ENSMUSG00000036620,0.3882189097450346,0.0,0.0,0.3826333702218722,0.3937760719806283,Mgat4b
ENSMUSG00000091183,0.3881775826090547,0.0,0.0,0.3825918335809887,0.39373495629845673,Gm5141
ENSMUSG00000003955,0.38816986615994054,0.0,0.0,0.38258407801639965,0.3937272793287475,Fam162a
ENSMUSG00000033106,0.3881579001017823,0.0,0.0,0.38257205130261773,0.3937153744905906,Slc7a6os
ENSMUSG00000037885,0.3881081721522335,0.0,0.0,0.382522071303723,0.39366590093610765,Stk35
ENSMUSG00000020698,0.3880550488649859,0.0,0.0,0.3824686787937557,0.393613049378009,Cct6b
ENSMUSG00000009418,0.38797357996171106,0.0,0.0,0.3823867970879139,0.39353199712221393,Nav1
ENSMUSG00000068391,0.38781780294464013,0.0,0.0,0.38223023099368797,0.393377016537873,Chrac1
ENSMUSG00000015879,0.3876801854776303,0.0,0.0,0.3820919167022919,0.39324010239739843,Fam184b
ENSMUSG00000029463,0.3875930811726188,0.0,0.0,0.3820043714750676,0.39315344313206296,Fam216a
ENSMUSG00000097191,0.3875541933074783,0.0,0.0,0.3819652867918413,0.3931147539237469,5730422E09Rik
ENSMUSG00000022131,0.3874246157699063,0.0,0.0,0.3818350535846507,0.39298583818480504,Gpr180
ENSMUSG00000047911,0.38741562468499335,0.0,0.0,0.38182601701257834,0.3929768930124541,Npm2
ENSMUSG00000031596,0.3873595619861563,0.0,0.0,0.38176967070879325,0.39292111657147016,Slc7a2
ENSMUSG00000024899,0.38734995403475947,0.0,0.0,0.381760014157725,0.3929115576744592,Papss2
ENSMUSG00000040274,0.3873167746661918,0.0,0.0,0.3817266669681327,0.3928785476973346,Cdk6
ENSMUSG00000061762,0.38728017460176567,0.0,0.0,0.38168988179770635,0.3928421344714879,Tac1
ENSMUSG00000038007,0.3872250075448419,0.0,0.0,0.3816344357650853,0.392787249002274,Acer2
ENSMUSG00000068735,0.3871962623175972,0.0,0.0,0.3816055451913115,0.3927586504828092,Trp53i11
ENSMUSG00000022053,0.387034294853456,0.0,0.0,0.3814427589637824,0.3925975094552287,Ebf2
ENSMUSG00000047714,0.3869980202761917,0.0,0.0,0.38140630106206386,0.3925614199216374,Ppp1r2
ENSMUSG00000006010,0.3869424163236619,0.0,0.0,0.3813504161320542,0.3925060995824245,BC003331
ENSMUSG00000019362,0.38691601066247006,0.0,0.0,0.3813238770522854,0.392479828591754,D8Ertd738e
ENSMUSG00000059816,0.3868257923830551,0.0,0.0,0.38123320300098346,0.392390070362703,Fam159a
ENSMUSG00000047115,0.3867857701797305,0.0,0.0,0.3811929786447598,0.3923502522107956,Fam221a
ENSMUSG00000023104,0.38674482215900546,0.0,0.0,0.3811518238167303,0.39230951294014205,Rfc2
ENSMUSG00000038860,0.38670092756130153,0.0,0.0,0.3811077075546995,0.3922658420897033,Garnl3
ENSMUSG00000002835,0.3865772378322962,0.0,0.0,0.3809833933391325,0.3921427827188005,Chaf1a
ENSMUSG00000014547,0.3863901155183619,0.0,0.0,0.3807953266636782,0.391956613654871,Wdfy2
ENSMUSG00000039989,0.38635193326630785,0.0,0.0,0.3807569517718013,0.3919186258571908,Cbx4
ENSMUSG00000056665,0.38635114449304947,0.0,0.0,0.380756159019171,0.39191784110079264,Them6
ENSMUSG00000015711,0.38632540557592265,0.0,0.0,0.380730290253366,0.3918922332557134,Prune1
ENSMUSG00000059920,0.38624462763489115,0.0,0.0,0.3806491048575461,0.39181186660969985,4930453N24Rik
ENSMUSG00000003721,0.38616187283332226,0.0,0.0,0.3805659327190903,0.3917295330805782,Insig2
ENSMUSG00000032015,0.38610050394886253,0.0,0.0,0.3805042544065285,0.3916684765436152,Pou2f3
ENSMUSG00000042350,0.38609977506673787,0.0,0.0,0.3805035218496059,0.3916677513709669,Arel1
ENSMUSG00000033819,0.38598457670062986,0.0,0.0,0.380387742777278,0.3915531391932536,Ppp1r16a
ENSMUSG00000026131,0.3859484075830007,0.0,0.0,0.3803513913700597,0.3915171540870113,Dst
ENSMUSG00000037679,0.3857254850614846,0.0,0.0,0.3801273457178324,0.39129536531398357,Inf2
ENSMUSG00000029723,0.3856276302681491,0.0,0.0,0.38002899811887386,0.39119800799021165,Tsc22d4
ENSMUSG00000041747,0.3855426073458247,0.0,0.0,0.3799435471161674,0.3911134172021671,Utp15
ENSMUSG00000020660,0.38548740805923964,0.0,0.0,0.37988806995884794,0.3910584984189923,Pomc
ENSMUSG00000042249,0.3854658962652459,0.0,0.0,0.37986644988635476,0.3910370959296461,Grk3
ENSMUSG00000073411,0.38545964931584226,0.0,0.0,0.37986017149440143,0.3910308807207991,H2-D1
ENSMUSG00000022353,0.38540240763042277,0.0,0.0,0.37980264172045075,0.3909739298549537,Mtss1
ENSMUSG00000070883,0.38540132392169224,0.0,0.0,0.37980155255799986,0.39097285165165424,Ccdc173
ENSMUSG00000020611,0.3853289042195527,0.0,0.0,0.37972876844182635,0.3909007998196959,Gna13
ENSMUSG00000054934,0.3852212338991513,0.0,0.0,0.37962055645537274,0.39079367630571815,Kcnmb4
ENSMUSG00000027490,0.3852105308809081,0.0,0.0,0.3796097996009381,0.39078302763477357,E2f1
ENSMUSG00000032712,0.3851606041160567,0.0,0.0,0.3795596217244219,0.3907333543660679,2810474O19Rik
ENSMUSG00000033726,0.38515412981119235,0.0,0.0,0.37955311485880633,0.3907269129312011,Emx1
ENSMUSG00000038861,0.38498945175515414,0.0,0.0,0.3793876087856753,0.39056307076093555,Pi4kb
ENSMUSG00000026171,0.38494150728594007,0.0,0.0,0.37933942331444165,0.39051536958564675,Rnf25
ENSMUSG00000025357,0.3849360856786155,0.0,0.0,0.379333974456286,0.3905099754883528,Dgka
ENSMUSG00000029086,0.3848510129935745,0.0,0.0,0.3792484742180595,0.39042533442447197,Prom1
ENSMUSG00000033427,0.38480933865492933,0.0,0.0,0.3792065904699417,0.39038387148859277,Upb1
ENSMUSG00000026656,0.384762390445334,0.0,0.0,0.37915940637768886,0.39033716140761193,Fcgr2b
ENSMUSG00000030598,0.384751109703785,0.0,0.0,0.3791480689624672,0.3903259378794607,Fbxo17
ENSMUSG00000044339,0.38472756978696654,0.0,0.0,0.37912441078813724,0.39030251734649823,Alkbh2
ENSMUSG00000034384,0.3846696725210959,0.0,0.0,0.3790662226948591,0.39024491367878794,Barhl2
ENSMUSG00000015222,0.38452343551334445,0.0,0.0,0.37891925131208204,0.39009941804739895,Map2
ENSMUSG00000024759,0.3845151865836526,0.0,0.0,0.378910960966224,0.39009121092893084,Atl3
ENSMUSG00000035266,0.3843842276161975,0.0,0.0,0.37877934460143486,0.3899609156325041,Helq
ENSMUSG00000037034,0.38436465922705065,0.0,0.0,0.37875967800093624,0.3899414463924406,Pax1
ENSMUSG00000034220,0.3840235255890256,0.0,0.0,0.3784168330681985,0.389602040408713,Gpc1
ENSMUSG00000053040,0.38400273558208486,0.0,0.0,0.37839593881805395,0.38958135564273905,Aph1c
ENSMUSG00000045975,0.38397839279824675,0.0,0.0,0.3783714739842898,0.3895571360772051,C2cd2
ENSMUSG00000022383,0.3839461430170728,0.0,0.0,0.3783390625211247,0.3895250495260926,Ppara
ENSMUSG00000002227,0.3839239079256034,0.0,0.0,0.37831671596360816,0.3895029269681306,Mov10
ENSMUSG00000019992,0.38381839720392574,0.0,0.0,0.3782106763984925,0.38939795015657636,Mtfr2
ENSMUSG00000063406,0.3838149460726091,0.0,0.0,0.37820720797181584,0.3893945164863821,Tmed5
ENSMUSG00000036185,0.3837414617766373,0.0,0.0,0.37813335544633525,0.38932140395003095,Sapcd1
ENSMUSG00000063457,0.3835779093207466,0.0,0.0,0.3779689836859888,0.3891586786593325,Rps15
ENSMUSG00000024960,0.3835447724143308,0.0,0.0,0.3779356808256635,0.3891257093001138,Plcb3
ENSMUSG00000024827,0.38354014539273984,0.0,0.0,0.37793103063250527,0.38912110567258357,Gldc
ENSMUSG00000027472,0.38351251978160394,0.0,0.0,0.3779032666815232,0.38909361972977907,Pdrg1
ENSMUSG00000024477,0.3834892505682008,0.0,0.0,0.3778798809514881,0.3890704681521159,Pggt1b
ENSMUSG00000017969,0.3833958766149381,0.0,0.0,0.3777860395160082,0.3889775661728695,Ptgis
ENSMUSG00000000605,0.38332212907187163,0.0,0.0,0.3777119228329678,0.3889041913186583,Clcn4
ENSMUSG00000066571,0.38326865940379606,0.0,0.0,0.3776581855698588,0.38885099181935817,4931406P16Rik
ENSMUSG00000035498,0.3832129692266093,0.0,0.0,0.37760221672502803,0.38879558299104244,Cdcp1
ENSMUSG00000029521,0.3832123911069282,0.0,0.0,0.3776016357127133,0.3887950077918319,Chek2
ENSMUSG00000063296,0.3831363656140983,0.0,0.0,0.377525229863278,0.3887193663168863,Tmem117
ENSMUSG00000035877,0.38303500976997884,0.0,0.0,0.3774233670532793,0.38861852232157684,Zhx3
ENSMUSG00000024583,0.3829788448831556,0.0,0.0,0.3773669212970621,0.3885626410108286,Txnl1
ENSMUSG00000029924,0.38294778845765015,0.0,0.0,0.377335709582472,0.38853174137133745,Slc37a3
ENSMUSG00000030706,0.3829458397703518,0.0,0.0,0.3773337511517257,0.38852980252142066,Mrpl48
ENSMUSG00000036975,0.3828849790358588,0.0,0.0,0.3772725861384681,0.38846924899977564,Tmem177
ENSMUSG00000028943,0.3826155179044344,0.0,0.0,0.37700177839996035,0.38820114747489737,Espn
ENSMUSG00000030603,0.3825866164921785,0.0,0.0,0.3769727326125629,0.3881723918329098,Psmc4
ENSMUSG00000045333,0.3825283680409574,0.0,0.0,0.3769141932185105,0.3881144371367862,Zfp423
ENSMUSG00000054027,0.382389683765243,0.0,0.0,0.37677481641483174,0.38797645208748394,Nt5dc3
ENSMUSG00000029471,0.38227804772290447,0.0,0.0,0.3766626230961452,0.3878653787162711,Camkk2
ENSMUSG00000025209,0.3821188426052982,0.0,0.0,0.3765026235269476,0.3877069757480508,Twnk
ENSMUSG00000029153,0.38210127405252986,0.0,0.0,0.3764849673256348,0.3876894956935979,Ociad2
ENSMUSG00000055725,0.38205131789277436,0.0,0.0,0.37643476195963815,0.38763979115673936,Paqr3
