,Neural crest_corr,Neural crest_pval,Neural crest_qval,Neural crest_ci_low,Neural crest_ci_high,gene_annotation
ENSMUSG00000033987,0.19628325631798418,0.0,0.0,0.18996786457542955,0.20258240535435304,Dnah17
ENSMUSG00000053128,0.1962569661893502,0.0,0.0,0.18994150775136473,0.20255618392238386,Rnf26
ENSMUSG00000037152,0.19624206247882248,0.0,0.0,0.18992656623565465,0.20254131915155665,Ndufc1
ENSMUSG00000086644,0.1962279724282232,0.0,0.0,0.18991244044651648,0.20252726591209683,Gm13470
ENSMUSG00000030559,0.1962242467307265,0.0,0.0,0.18990870529945636,0.20252354994778435,Rab38
ENSMUSG00000024187,0.1961822295386929,0.0,0.0,0.1898665815510087,0.2024816425108452,Fam234a
ENSMUSG00000087085,0.1961643520862181,0.0,0.0,0.1898486587680187,0.20246381174991263,Gm12068
ENSMUSG00000020251,0.19613540532596382,0.0,0.0,0.18981963861856135,0.20243494058267375,Glt8d2
ENSMUSG00000000416,0.19611633106639637,0.0,0.0,0.18980051600573786,0.202415916128595,Cttnbp2
ENSMUSG00000022483,0.1960799373689257,0.0,0.0,0.18976403006352202,0.2023796174468325,Col2a1
ENSMUSG00000013593,0.19604230307530798,0.0,0.0,0.18972630039904653,0.20234208138963372,Ndufs2
ENSMUSG00000037999,0.195984610157907,0.0,0.0,0.18966846131548892,0.20228453903153837,Arap2
ENSMUSG00000055963,0.19594464650427343,0.0,0.0,0.18962839643884172,0.20224467964423276,Triqk
ENSMUSG00000023391,0.19588946979093377,0.0,0.0,0.18957308000425005,0.20218964685423077,Dlx2
ENSMUSG00000026068,0.19586704978257255,0.0,0.0,0.1895506032342708,0.2021672853150131,Il18rap
ENSMUSG00000025402,0.19582499243982088,0.0,0.0,0.18950843943114545,0.2021253376358928,Nab2
ENSMUSG00000056737,0.19580675726565952,0.0,0.0,0.189490158105258,0.20210715000237792,Capg
ENSMUSG00000028919,0.19577299430090597,0.0,0.0,0.18945630970077815,0.2020734750490666,Arhgef19
ENSMUSG00000028600,0.19577297738447486,0.0,0.0,0.18945629274154246,0.20207345817672853,Podn
ENSMUSG00000026796,0.1956505344355263,0.0,0.0,0.18933354006746073,0.20195133428032633,Fam129b
ENSMUSG00000073702,0.1956074234498405,0.0,0.0,0.1892903200775306,0.20190833558333798,Rpl31
ENSMUSG00000036672,0.19557541577617032,0.0,0.0,0.18925823148968846,0.20187641126249753,Cenpt
ENSMUSG00000063975,0.19538794234048462,0.0,0.0,0.1890702843992975,0.20168942576715487,Slco1a5
ENSMUSG00000033486,0.19535812405622568,0.0,0.0,0.1890403908213211,0.20165968504911932,Catsper2
ENSMUSG00000033114,0.1952898229114861,0.0,0.0,0.1889719172544813,0.20159156153217314,Slc35d2
ENSMUSG00000038250,0.19523400162533983,0.0,0.0,0.18891595509650666,0.20153588537272316,Usp38
ENSMUSG00000027684,0.19514066821054413,0.0,0.0,0.18882238623511807,0.20144279451937827,Mecom
ENSMUSG00000042489,0.19512188329068236,0.0,0.0,0.18880355394153744,0.20142405840532634,Clspn
ENSMUSG00000058626,0.19505981052539795,0.0,0.0,0.18874132466789925,0.20136214688084056,Capn11
ENSMUSG00000049288,0.19504694152120472,0.0,0.0,0.1887284232225469,0.20134931129899145,Lix1l
ENSMUSG00000041624,0.19502255275174618,0.0,0.0,0.18870397297801725,0.20132498586414838,Gucy1a2
ENSMUSG00000040564,0.19501835719334532,0.0,0.0,0.1886997668449545,0.20132080120030968,Apoc1
ENSMUSG00000031538,0.1950015083502444,0.0,0.0,0.1886828755376555,0.20130399610610464,Plat
ENSMUSG00000074682,0.1949690573620558,0.0,0.0,0.1886503427736629,0.2012716293681374,Zcchc3
ENSMUSG00000031750,0.1949643132718486,0.0,0.0,0.18864558672961065,0.2012668975935253,Il34
ENSMUSG00000003184,0.1949533205349536,0.0,0.0,0.18863456629508268,0.20125593339249873,Irf3
ENSMUSG00000021866,0.19483048425643956,0.0,0.0,0.18851142062280968,0.20113341587527617,Anxa11
ENSMUSG00000029268,0.19481980101583227,0.0,0.0,0.18850071048319322,0.20112276034845702,Ugt2a2
ENSMUSG00000026204,0.1948186924975943,0.0,0.0,0.18849959917393672,0.20112165470578164,Ptprn
ENSMUSG00000055799,0.19481069461529787,0.0,0.0,0.18849158115511438,0.2011136775699942,Tcf7l1
ENSMUSG00000028173,0.19479616899461247,0.0,0.0,0.18847701896496027,0.20109918962663517,Wls
ENSMUSG00000037813,0.19472818561962776,0.0,0.0,0.18840886447306185,0.20103138255388459,D630003M21Rik
ENSMUSG00000003528,0.19470790023180753,0.0,0.0,0.188388528037888,0.2010111497607427,Slc25a1
ENSMUSG00000028673,0.19466172829224684,0.0,0.0,0.1883422399287244,0.20096509751283306,Fuca1
ENSMUSG00000026989,0.19459922019063575,0.0,0.0,0.1882795746001056,0.20090275140676028,Dapl1
ENSMUSG00000030494,0.19453677916846246,0.0,0.0,0.188216976571025,0.20084047215529965,Rhpn2
ENSMUSG00000071324,0.19452552419308516,0.0,0.0,0.18820569330066195,0.20082924633362428,Armc2
ENSMUSG00000040488,0.19452323145282666,0.0,0.0,0.18820339479666354,0.2008269595320355,Ltbp4
ENSMUSG00000029192,0.19449321844295836,0.0,0.0,0.18817330634321008,0.2007970242557115,Tbc1d14
ENSMUSG00000043262,0.19447198423640874,0.0,0.0,0.18815201876748439,0.20077584503853885,Uevld
ENSMUSG00000075520,0.19446280178096872,0.0,0.0,0.18814281323508,0.20076668636071196,Malrd1
ENSMUSG00000026429,0.19444368452660424,0.0,0.0,0.188123647939591,0.20074761860620272,Ube2t
ENSMUSG00000052160,0.19439732809528454,0.0,0.0,0.1880771750358443,0.20070138218466232,Pld4
ENSMUSG00000020009,0.19435477831225081,0.0,0.0,0.18803451836965304,0.20065894253185174,Ifngr1
ENSMUSG00000098557,0.19433591923836235,0.0,0.0,0.18801561193023802,0.20064013226272454,Kctd12
ENSMUSG00000071561,0.19430222776315384,0.0,0.0,0.18798183584882855,0.2006065279649787,BC100530
ENSMUSG00000039396,0.19429476675678944,0.0,0.0,0.1879743561083695,0.2005990862621325,Neil3
ENSMUSG00000038990,0.19420461067040515,0.0,0.0,0.18788397370395313,0.20050916337492863,Cables2
ENSMUSG00000045441,0.1941167945988312,0.0,0.0,0.18779593729137914,0.20042157434768545,Gprin3
ENSMUSG00000097391,0.19405610379698165,0.0,0.0,0.18773509426841653,0.20036104040015773,Mirg
ENSMUSG00000029167,0.1939891232020385,0.0,0.0,0.18766794573298,0.20029423285951548,Ppargc1a
ENSMUSG00000097542,0.1939663725977175,0.0,0.0,0.18764513809949512,0.20027154102141462,Gm26751
ENSMUSG00000025359,0.19392714897894528,0.0,0.0,0.1876058161744982,0.20023241870379418,Pmel
ENSMUSG00000030894,0.19388303010002292,0.0,0.0,0.18756158674456425,0.2001884137447732,Tpp1
ENSMUSG00000054619,0.19386141626757103,0.0,0.0,0.18753991876254292,0.2001668557123805,Mettl7a1
ENSMUSG00000023972,0.1938327603664638,0.0,0.0,0.1875111910787155,0.2001382737823064,Ptk7
ENSMUSG00000056569,0.1938325535963174,0.0,0.0,0.18751098379065143,0.200138067545868,Mpz
ENSMUSG00000018362,0.19378697956976312,0.0,0.0,0.18746529562405714,0.20009261113979251,Kpna2
ENSMUSG00000034126,0.19373359548873187,0.0,0.0,0.1874117778775093,0.20003936480142634,Pomt2
ENSMUSG00000048965,0.19368306947513828,0.0,0.0,0.187361125389131,0.1999889691217469,Mrgpre
ENSMUSG00000052698,0.19368251185754035,0.0,0.0,0.18736056637591356,0.19998841294236017,Tln2
ENSMUSG00000061979,0.19367052392565967,0.0,0.0,0.18734854844132312,0.19997645592885446,Wbscr16
ENSMUSG00000035557,0.19361402742802603,0.0,0.0,0.18729191057296596,0.19992010511746694,Krt17
ENSMUSG00000000531,0.19339395825272823,0.0,0.0,0.187071291121145,0.19970060303186468,Grasp
ENSMUSG00000005148,0.19336754065639525,0.0,0.0,0.18704480751126384,0.19967425346769602,Klf5
ENSMUSG00000002105,0.19325011793703084,0.0,0.0,0.18692709148163156,0.199557133031924,Slc39a13
ENSMUSG00000019804,0.19320852403347555,0.0,0.0,0.18688539372419652,0.1995156461611422,Snx3
ENSMUSG00000039977,0.1931693013706322,0.0,0.0,0.18684607314898638,0.1994765244084909,Ccdc67
ENSMUSG00000027955,0.19316026303138684,0.0,0.0,0.18683701225001495,0.1994675093198022,Fam198b
ENSMUSG00000009376,0.1931016686975007,0.0,0.0,0.18677827169056282,0.19940906569024114,Met
ENSMUSG00000009772,0.1929995115267613,0.0,0.0,0.18667585968879954,0.1993071711599041,Nuak2
ENSMUSG00000006763,0.19299445471979987,0.0,0.0,0.186670790271205,0.19930212735016908,Saal1
ENSMUSG00000028970,0.19293683378526702,0.0,0.0,0.18661302566573237,0.19924465449188128,Abcb1b
ENSMUSG00000026605,0.19292087054520723,0.0,0.0,0.18659702263096875,0.19922873226702473,Cenpf
ENSMUSG00000024039,0.19291330216298808,0.0,0.0,0.18658943538272946,0.19922118332948943,Cbs
