,Neural Crest/Mid-HindBrain_1_corr,Neural Crest/Mid-HindBrain_1_pval,Neural Crest/Mid-HindBrain_1_qval,Neural Crest/Mid-HindBrain_1_ci_low,Neural Crest/Mid-HindBrain_1_ci_high,gene_annotation
ENSMUSG00000060470,0.018738029462511078,0.00209660748205378,0.0023001727724122657,0.006799989771908713,0.03067072869959407,Adgrg3
ENSMUSG00000054641,0.018728329453037523,0.0021078356537829455,0.002312237443816307,0.006790286805240846,0.030661034409936873,Mmrn1
ENSMUSG00000097068,0.018703312215465638,0.0021370491453152852,0.002343512605894599,0.00676526195116179,0.030636031913948387,Gm26760
ENSMUSG00000027800,0.01870081830243583,0.002139981628980034,0.0023464710844079317,0.006762767279678856,0.030633539469655885,Tm4sf1
ENSMUSG00000027474,0.018644050162228563,0.0022077386604299107,0.0024205006692576587,0.006705981915235165,0.03057680472170899,Ccm2l
ENSMUSG00000025877,0.01862814893469268,0.002227067371904664,0.002441424437518816,0.0066900758768514154,0.030560912833837203,Hk3
ENSMUSG00000034744,0.018604287540121486,0.0022563631112370785,0.0024732687835548376,0.00666620727445222,0.030537065443054318,Nagk
ENSMUSG00000021750,0.018599709944368385,0.0022620234386802095,0.0024792014891278054,0.00666162829749673,0.03053249053225006,Fam107a
ENSMUSG00000055560,0.018482399384121103,0.0024115941010314132,0.002642553255568062,0.00654428251183097,0.030415248608904877,Zfp459
ENSMUSG00000028159,0.018444364691372506,0.0024619978884005403,0.00269719312927316,0.006506236468799979,0.0303772360992783,Dapp1
ENSMUSG00000055978,0.01843757048749882,0.0024711024281685715,0.002706870881989891,0.006499440241043839,0.030370445854381017,Fut2
ENSMUSG00000034993,0.01843430925239795,0.0024754835630240763,0.002711373015360434,0.0064961780348659955,0.030367186519207643,Vat1
ENSMUSG00000022793,0.018365587496384787,0.0025694726744295133,0.002814010157079743,0.006427435875111228,0.030298504740039867,B4galt4
ENSMUSG00000059325,0.01834393405266646,0.00259975678249854,0.002846864632609001,0.006405776025782975,0.03027686386922461,Hopx
ENSMUSG00000087172,0.018338564976268266,0.002607316189782562,0.002854829946110328,0.006400405362815885,0.030271497908607836,Gm12153
ENSMUSG00000052142,0.018336928757035787,0.002609623901397878,0.002857043903435382,0.006398768660215464,0.030269862638769057,Rasal3
ENSMUSG00000022696,0.018308534016022626,0.0026499701498829452,0.0029008978104903614,0.006370365541082779,0.03024148436324072,Sidt1
ENSMUSG00000018819,0.01824904505482481,0.002736352741943937,0.0029944766272093862,0.006310859089594067,0.030182029836009507,Lsp1
ENSMUSG00000086899,0.01824877221707687,0.0027367547818284072,0.0029945888848105996,0.006310586171824147,0.03018175715599359,1600002D24Rik
ENSMUSG00000006649,0.01810652581633154,0.0029538635464932193,0.0032314446411696963,0.00616829829307587,0.03003959274839066,Nphs1
ENSMUSG00000061411,0.018072302662804116,0.0030083906920101064,0.0032907358258697293,0.006134065232472619,0.03000538924959636,Nol4l
