,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Neural_crest_PNS_neurons,0.0033319339247010553,0.0163227881237289,0.000678288354226057,0.0006501528077386808,0.006641037873087953,0.0007257306836689737,0.008787865897272205,1.5032788065649033e-07,0.0013310836151913625,0.0025884197525880897,0.01345302187024698,3.9404560742382185e-05,0.004938268185187608,0.01453155955356893,0.003259672837760333,0.0007449540550450319,0.0031883221186515026,0.0003401938649836441,0.0017942542044247875,0.0003143284755174717,0.002524578986015751,0.8754464534116371,0.004605736660399273,0.02164987697105478,0.0002114693232975526,0.0005334389368694907,0.0006393065084382253,0.0028108729053392184,0.0008484771966159965,0.007068358014120011
Neuroectoderm_and_glia,0.0056133797616977465,0.025739399973767473,0.004251636299595141,0.002621883130110435,0.02310095955912741,0.010362671973294628,0.0830629192647855,3.4046266969708314e-07,0.057302750798899245,0.02721019850858904,0.07671761034337359,0.00013284420755672977,0.008049990479811475,0.12539935820112205,0.025495138292065185,0.006682402037595082,0.004259395613141671,0.0015647900479121106,0.010608179764524042,0.0017990680686524338,0.040650950072357785,0.009748502026538979,0.36879823292176916,0.01097171964620932,0.023720153059537258,0.0027528175298797766,0.0007314829398134296,0.013797264617066747,0.0033749023210422158,0.025479058077494652
Notochord,3.651554545369976e-14,0.003149994049982508,1.8082842133232605e-06,1.364772827811426e-12,0.11395617739854035,5.214411195487914e-12,0.22739272156433504,4.0736711447495245e-17,0.002771601457193842,3.239077464963624e-07,0.0044634052951608005,9.398686291344794e-10,0.0002508818287727424,5.7861456450056263e-08,0.001074870690549269,5.089418072649954e-06,2.2360386982242566e-11,3.3913632401255975e-08,0.3710808024570809,0.17405239704508235,0.03540656676566982,0.0053357904162127535,0.06105664407732186,4.2296134296416894e-07,4.0925444383201385e-10,9.048714500999216e-13,1.748438551637265e-10,4.888084160420204e-12,4.088982827728048e-07,1.5061472539116083e-10
Olfactory_sensory_neurons,0.0028353519234800284,0.0013795396999698138,9.975908147174879e-05,0.0004890139011540397,0.0015656497284597208,0.0002287977218091832,0.003137679947764958,1.1352152794055472e-08,0.0005315324430137017,0.0003162272276611066,0.004220307264125172,1.7566853473364187e-05,0.0002785357888277168,0.0018017443043039274,0.0009463680740221992,0.00015941289611058723,0.0004484831508793141,0.00017009033461618003,0.000685074121646986,8.12790735061288e-05,0.000574620721448279,0.2637075437023887,0.0029922085283435366,0.7079192870457988,7.419328408381259e-06,0.0002274477843131378,2.4728639816865204e-06,0.0016303269369058653,0.0001151026933759578,0.003431145506587045
Olidendrocytes,0.0005869748868393498,0.06437535437268553,0.003505858512794364,0.0003632645447376508,0.002430058494711228,0.0005627177760290298,0.022715908888872108,8.898191314168344e-09,0.005487386943518125,0.02113866012799524,0.011057152160851402,1.1941628782353844e-05,0.00042796323148347134,0.03581827052268054,0.0051737482411800765,0.001490462770247153,0.0013179405059207112,0.0002952522705545223,0.0045668523649236795,0.00017149999230494552,0.009707323985609796,0.017039021088802616,0.033376480623425506,0.007611188398449487,0.7424002716633595,0.0014438755714047996,2.9252850496978794e-06,0.0028615490812618403,0.0003927056588146168,0.0036673815085192926
Primitive_erythroid,0.0026184768246842725,0.00039131165819194835,0.0012209559060528128,0.09943594188811472,0.015027208286276387,0.0005081846307625641,0.010623431129148483,2.767396954831357e-07,0.0007336948908690527,0.002781736963757736,0.008634750214839159,4.335973530810775e-05,0.0004365663656156273,0.000561634627106728,0.0013936359067438162,0.00019297714180478096,0.0034729254217487626,0.0654480790690001,0.0011516148699837606,0.00011097698070613918,0.0011289428709986707,0.006809406506541738,0.0021313178475239904,0.006959589713296522,1.8522960801313466e-05,0.713044421940498,6.206668687658527e-05,0.008720701970109589,0.00021745778367351313,0.04611983246926964
Primordial_germ_cells,0.009990879450246059,0.0006367098031749018,0.0006920918320385441,0.01164478170205219,0.03841780915656967,0.0007898993881653482,0.03967997850250311,8.377746877801985e-07,0.002204276181215269,0.0010897655864758639,0.10594019416508696,0.00021402703962490925,0.0011310113026463031,0.0016888108998595129,0.020454239337164514,0.0038224747847260565,0.014339755455371656,0.0057419297019213975,0.0025827600919879983,0.0013942792009028692,0.005257866406254329,0.0012329052112395526,0.009194147879594185,0.000811880696656703,2.547840297167424e-05,0.0006522499100426167,0.6202663255065383,0.02411919301376307,0.0028890578876579914,0.07309438372886067
T_cells,0.018019270175862613,0.00023452125637374923,0.0026022731361193385,0.008738281216939488,0.08846580993995523,0.0005955281093269593,0.08150549243819619,2.216115720554271e-06,0.001035601134860513,0.002813300121598772,0.07107912013464639,9.093441634215097e-05,0.001986611637139855,0.00028491791492106565,0.25713983212400293,0.0025743078474728107,0.11188859507448505,0.012192511947307166,0.0012139433545402672,0.0005464963622222214,0.005665343262353169,0.0010665227906087747,0.001635703260395808,0.0014560269211261398,2.73034184283456e-05,0.007933381955465306,0.016462517924189877,0.0632270947941176,0.004779532092472449,0.2347370091228092
Testis_and_adrenal,1.3573496239296891e-10,4.457433805199703e-08,2.67851130034336e-07,2.249008229171944e-11,1.3014839834850882e-05,3.914317130410006e-10,0.0007128297450661445,1.2181127731529307e-13,5.5688427048408736e-08,9.302812994502418e-07,0.006271027376803497,2.8364868255998266e-10,0.0005232596206292754,3.0298394336787837e-09,0.00012525639378629504,1.3698224875490115e-07,8.02022788708284e-09,1.217705469195696e-09,1.6592981099526598e-05,6.016347129971315e-08,3.5744906098545723e-07,5.914929150301886e-06,1.0223275368019887e-08,6.134785506857871e-07,3.9423994580137574e-11,5.8160947190703395e-11,1.9647017866666654e-08,3.1431578972790596e-09,0.9923295788928109,1.2540056758005245e-08
White_blood_cells,0.02921583223014544,0.0013788156360745728,0.009608885257401091,0.017106529092247764,0.09633668684795166,0.0027182486635152574,0.051444479508542175,1.5183538007833791e-06,0.0031746971185676216,0.014670202043474072,0.08131453424471168,0.0002943331190452003,0.0021831649107066525,0.0026915443831280485,0.048039992259805306,0.006322873892974043,0.08502853726738215,0.03425528062876059,0.004219020653107881,0.0013083033345879617,0.010183265471497225,0.002907273636556896,0.011667514400058246,0.001104499551447819,6.264322160999011e-05,0.03279298111272911,0.03326005805484615,0.07165698644682854,0.0021259558549738206,0.34292534280352227
