,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Neural_crest_PNS_glia,0.001465326294322131,0.0007813989665459527,0.019349115006519507,0.00029767787839624055,0.07850087449124152,0.025509618271687268,0.0011259056649365726,0.10310266931777315,0.009547637793870068,0.0015854436236137656,0.002307798019384282,0.007124406299261529,0.012061385461001837,0.005853884398999741,0.010325375964198824,0.008347631448141957,0.0029792788030034386,0.003341354436136621,0.2987309700025249,0.03962416581966055,0.21341493766748434,0.0023313791070188176,0.09964015353973675,0.001284381493597858,0.0013407935646957676,1.6890580078152123e-09,0.0008171050010103455,0.001654454510109939,0.0009545484808904069,0.0466003269851779
Neural_crest_PNS_neurons,0.0003848222546698942,0.00044539666812789776,0.1174501701180501,0.0001350544915771367,0.035713128714876856,0.005576804275490367,0.00014924278353558882,0.024450832956886714,0.00490404804747232,0.007206177332767389,0.0009346730649823966,0.020444873702844514,0.005459066941369907,0.010676951138443977,0.0023843895157805352,0.001803890101924645,0.0007178972585478988,0.0008406325934684006,0.09772709003636404,0.009740871368921494,0.003798408430531989,0.598840772591193,0.022022852655208106,0.013707107852545319,0.0003668519490506689,6.844173555347374e-10,0.00026215787488798503,0.00043026413149491855,0.0001351158424516868,0.013290454622116917
Neuroectoderm_and_glia,0.0004989310166260625,0.0005712412262299302,0.0413688029293415,0.0007225674586982942,0.063919839241495,0.0073490963591580985,0.002622052671189796,0.033501306838125876,0.012311612609035932,0.0006594165733550008,0.0009185297099730784,0.00442908031555924,0.005567908025577294,0.026730685170879735,0.002382472045596553,0.004196730245265118,0.0008566760987076429,0.002178103327912095,0.08483422894252156,0.016373288980130518,0.010485051638734439,0.0016972496308563668,0.6531319907558317,0.0012187894327050006,0.002543769424534128,4.2334958549117044e-10,0.00046420068977722986,0.0005584073107161099,0.0010016543785978692,0.01690631652951932
Olfactory_sensory_neurons,0.0010516628339515418,0.0021939843221341253,0.07385762672805189,0.00018304248146887108,0.051613548396404356,0.012184773095602185,0.001222948868121193,0.05451674874702254,0.00822771338699396,0.007473219254130072,0.0014383618921014233,0.0035638609509609062,0.005642447434510909,0.013376209271067552,0.005990920362001344,0.0031300344148422763,0.0009698565743926288,0.0009873296390655575,0.1449274104315424,0.010334679594420684,0.004260669901539123,0.028247278646037963,0.04277415452025397,0.4930951919782988,0.00023629261885504228,1.2521788824896303e-09,0.005590895476331894,0.0008535194971005016,0.00040994544900361363,0.021645671981613754
Olidendrocytes,0.0001726945079493661,0.00027329975783470483,0.05824425925226768,0.00018024510400055772,0.0442319595127272,0.004171127065623366,0.00015306918352571872,0.011562346696554145,0.007351994651662426,0.000395612623940237,0.000888379423693513,0.0019092504291387824,0.0012904925047028896,0.012298325306200852,0.0010076062941828073,0.0015861182769588726,0.0006527215713437554,0.001760483286599968,0.06228086468571939,0.005163866657270156,0.007670412914542953,0.0197048358571083,0.22049034053276775,0.000993075682687176,0.5224245884157604,1.544193551867423e-10,0.0001269011141664889,0.000310761568813425,0.00011440637385695889,0.012589960593980784
Primitive_erythroid,3.513468136385345e-06,9.50879092564812e-06,0.00028788368737629034,8.16933439840788e-06,0.9847636996756026,0.0010478343072551036,1.078544206774935e-06,0.001323617436616174,7.37841778257699e-05,1.8671171684038627e-05,0.00012371663111204352,0.0003119038939933438,0.00010641324671571708,8.431551548208019e-05,0.0003176015509847709,0.00015462053404071942,0.00017763141979930278,0.00040889715466668725,0.005171778239591346,0.00015903624003694866,0.0001517418595663334,0.00010002182715324669,0.00039980846480834424,3.338725279087004e-05,5.814244664605866e-06,6.622193046963976e-07,8.364442729648268e-07,7.600377421968592e-05,2.0007752388979915e-05,0.004658041140380147
Primordial_germ_cells,0.02097587565915225,0.004554033479646316,0.002429157369470872,8.136421245883941e-07,0.2344994201050527,0.023386034280096293,2.7011248044605125e-05,0.15218929125437716,0.002396971325538323,1.8161670655423594e-07,0.00025160480814806566,0.0037928160084933008,0.010750920053145723,9.187012296134563e-05,0.05512281749612356,0.011564079249213915,0.037571294022456354,0.020537706994982183,0.04395903467691785,0.02224427373161117,0.017777238822775054,0.00015551382195361964,0.0026547048476772595,0.0009727504066404108,0.00029786697850756017,6.832069238753045e-11,0.01906404728069842,0.02507470658398985,0.00019100814209538605,0.2874669559030786
T_cells,0.0008959921524616112,0.0044013845580807825,0.00955956178961426,0.00034038883217088066,0.2696909723877073,0.01809914661439465,0.0002998567160115085,0.028751216766096654,0.002502035414885276,8.801044306868881e-05,0.0013400157016202517,0.007340648185621738,0.0031604443422972375,0.0030374485362253257,0.007130232162123275,0.005112026941422799,0.05492980037842021,0.00927555778347178,0.1172815408249275,0.018901557327142274,0.004002457216571928,0.0008678754676091882,0.017360514729930786,0.0006984769830257777,0.00011227760090417758,3.600297152447022e-09,0.0007506103799934233,0.012596258981402831,0.00022060984316010196,0.4012530773393407
Testis_and_adrenal,0.0044365821268121065,0.0016242009936317501,0.013948796753402555,0.00024876415871578477,0.1238377745415337,0.030967594571899914,0.003172013267288504,0.23576473605327775,0.003942033925695173,0.0003193374667457319,0.010733513999335016,0.014716764543685772,0.03408864329836831,0.0043398949951471005,0.05470615036942204,0.018621119945769482,0.005681065847550439,0.0029159991685880154,0.27396769866881576,0.0358405209546125,0.012783597467831621,0.0013472725296719433,0.03096930261778328,0.0014071725299916373,0.00014093219355366276,2.801668914566075e-09,0.0024168218278509722,0.004005772256223464,0.0049488403609269285,0.06810707976420019
White_blood_cells,0.000936057669832344,0.003856234095493374,0.009132608951007674,0.00035751736844223165,0.16799436840137102,0.01971903295869047,0.0003398313777793302,0.020557314561949855,0.002037265610917354,7.419882750139561e-05,0.001009520861624684,0.00638874027409337,0.0026262593972327572,0.0026228167632679576,0.004952516504214977,0.003487361663648224,0.026666129532589972,0.013266054243087825,0.07951796956349261,0.015468026815703606,0.0033115382026498268,0.0007787363291265731,0.014213144127525478,0.0005604859435378724,0.00012421302625359972,4.095615482958443e-09,0.00041425717878296593,0.006968574735537864,0.00026664016128795945,0.5923525807577413
