,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Neural_crest_PNS_neurons,0.00014123165194162643,0.032504812995883516,0.0009358153741278552,0.0267414485032965,0.005689352293530611,4.508739222344767e-05,0.007592864190013625,0.0003848545875295594,0.0006370144617077694,0.02371660243101646,0.0005762601040967834,0.0004995034140488801,0.0002169928601006782,0.0009607908824347054,9.196293819836014e-05,0.0011835702675051408,0.06567374089048018,0.017395932691924458,0.010197400227198013,0.7735471699818146,0.016769651838441806,0.0012298233517182076,1.2199111140039658e-07,0.0019178978023062737,0.0008248543518769829,0.00040612578969741837,7.62461943508049e-05,0.010042870541424337
Neuroectoderm_and_glia,5.892756203200436e-05,0.04786252127558229,0.0001341727987094357,0.058966636254900597,0.007009858194828425,0.0015136714480604256,0.022541252303631756,0.00527930242884699,0.0014808514058510867,0.005607393886193009,0.002932485823906392,0.005510174048473621,0.00044856938965474077,0.0017481552024962285,0.0002116210936131665,0.0008763211574567761,0.15442655360587546,0.03556935689593301,0.017703232421582157,0.00578525089659512,0.6091861472053098,0.0003786673400638384,0.00015775826775410698,0.0018344471333399896,0.00012370361188339862,0.00023556859977720332,0.00015969454570349307,0.012257705201945421
Notochord,3.5602855113222373e-06,0.016661857411047074,0.012554396291195442,0.010713900872372995,0.0033654457255276964,5.877821330946663e-05,0.013871928962989038,0.0009336472869531625,0.00024689034341667166,0.0011555324935195149,0.0015864735895377217,0.0001510664081009692,3.873272546018414e-05,0.000561943367991396,4.159982006266001e-05,0.0016842643179684532,0.6765329523088499,0.05368831131453684,0.003399009425402299,0.002670518464047155,0.1936855673098014,2.7887952977478718e-05,4.108553306294959e-10,0.0001394911749825145,5.6111436724727236e-06,3.7027339300178736e-05,3.999812720776952e-05,0.006143606913402856
Olfactory_sensory_neurons,0.0013780739724582622,0.2974524867963669,5.841079614909281e-05,0.03898262699371155,0.006144443675499898,0.0026244100352439508,0.041201499356117784,0.0010283324184920926,0.0017397690519587808,0.002676853509181102,0.006924832872922018,0.001669177825893673,0.00048397799844006366,0.0008107764493294113,0.00018816542160923728,0.0005500703833881716,0.19641934810375788,0.022345619816712882,0.008152290444586966,0.0778366197103055,0.03645499511331921,0.2411104051979546,5.744250895789003e-06,0.0023644909368972984,0.00032891333898830684,0.00018145541691979856,0.00010429213104899641,0.01078191798185077
Olidendrocytes,1.218433592924289e-08,0.35953753008689643,1.801658890418285e-05,0.0003831280238197256,0.00016748062010349258,1.9433381631731742e-05,0.01324611782372633,0.00019775882074077317,0.0008968068154251728,0.11763130718046474,4.083357839644932e-05,0.011614108109031403,1.4288759337018424e-06,5.675567820450611e-06,5.835670273555482e-06,4.60150245418676e-05,0.35443820345913046,0.07795340958592488,0.00039970591572486403,0.056762493266926846,0.0059680136118325094,9.47404216474286e-06,1.1204211311938282e-06,0.00037072379603428314,4.934048084302825e-08,3.779351080360483e-06,6.691211064021728e-05,0.00021462674688286706
Primitive_erythroid,6.34363140630246e-07,0.0002982815622673977,1.2571990049801162e-05,0.697476050856903,0.0005623659509953367,1.0323421865221437e-05,0.0004598250710391862,2.4924675473146625e-05,6.293487623742969e-05,0.020117304118991708,6.425103869019583e-05,1.4302904801261197e-05,4.374604702164143e-06,2.2185430376321195e-05,4.2836204942650166e-05,0.05836756208221421,0.0030209357595138192,0.0005173097896603652,0.00024167218495507967,8.522058749408417e-05,0.0006208407818745062,6.353349925093603e-06,2.9425698045452657e-09,0.21544769718187354,5.769867041686016e-07,2.563109997826392e-05,1.6662962933013206e-06,0.002491363886468355
Primordial_germ_cells,0.0005152584964277898,0.0006748544651610582,1.3893605908904207e-05,0.8192908360883239,0.0023803088108827596,9.180524560615636e-06,0.0028522909612880096,6.63317809198894e-05,0.00032160906867473283,0.007718009494582278,0.0002592067048508866,6.407179583651464e-05,0.00017622896709219607,0.0007451012713335377,0.0009680689069163348,0.0010658045706413502,0.011220258108699447,0.007172630747004474,0.0016082203155937634,0.0005242490184596041,0.004582152010860827,1.0693641726579281e-05,7.321874517073956e-12,0.0003684971125678053,0.017207234251475776,0.0006285625549979077,0.00016842361118594353,0.1193880231067052
T_cells,0.0009245076569054773,0.0031275597089294132,6.385518486694985e-05,0.4114210205342643,0.013587174599430442,8.50458506428454e-05,0.014881435411850883,0.00030394878530736564,0.0016990616728152347,0.007386676783553949,0.001084045014409421,0.00019882383145763174,0.000775442497623858,0.0011479153478197472,0.0032086325011879083,0.007844957328067656,0.16409937629539334,0.01871257228834309,0.005222657099946298,0.0015612551554429954,0.012163611757931812,4.9832715956832957e-05,2.5497460504282708e-06,0.00837856882847942,0.0002182205007889745,0.008726068555495988,0.0001962174961935183,0.3129289668508442
Testis_and_adrenal,0.00023379909107734036,0.004388508168444605,0.00010258043256294988,0.09492002700112413,0.04616985240217306,7.046168697641066e-05,0.023188057132575164,0.0004249638666256786,0.037098037094835674,0.36332435587375983,0.00204039378178909,0.0002837270007786986,0.001018710965800717,0.0015231753174056646,0.005526537266182207,0.0025950922735842167,0.25101427974434193,0.029088711780630543,0.009136298216548575,0.003422246144221569,0.02083133616160543,8.192096312636954e-05,3.2805898585472826e-09,0.002108025259637669,8.528476913118918e-05,0.0009925233404594004,0.012328167763568817,0.08800292322044322
White_blood_cells,0.0009054605687432026,0.0046255072011061925,0.00016598364294130352,0.36949530534322333,0.015201504461752263,5.8699661628758225e-05,0.009395259506347845,0.0002819731038808372,0.0007966894835460351,0.005995482253473221,0.0006456504975906721,0.000267800731594052,0.0002124759938273315,0.0005701581293831896,0.00593566806064836,0.03948251561564042,0.036082238242539304,0.012894071739940413,0.004330050699922388,0.001356909760695689,0.011580068709086467,5.891729643664563e-05,2.770783091430213e-08,0.01895303107795325,0.00011587738936352141,0.0026525061320402466,8.26738039127512e-05,0.4578574931849514
