,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Olidendrocytes,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Neural_crest_PNS_glia,0.011528841577318925,0.003434771035264794,0.09486420725467876,0.0008762481302662239,0.035236472372688094,0.030910520207116,0.0016688623333416237,0.05864442593020418,0.016334668851446844,0.00029843310737064977,0.006961627051172468,0.016224627506797866,0.02029055628512509,0.03502238367518201,0.021175191615042527,0.008243023007595036,0.0030708125195274736,0.0007710395346316985,0.24675397836804067,0.037134362398965656,0.1711936209821174,0.006764228119034054,0.12730164192274582,0.00012130951050582835,0.00602049676536831,0.004989374646303535,0.00036203192956847175,0.002410878772986895,0.0011651894894671474,0.030226175100125957
Neural_crest_PNS_neurons,0.003696541003127006,0.002778972857361309,0.30500896161905516,0.00013219133558024034,0.02218070353865711,0.0060405240327231985,0.0003781917792118143,0.007158809199016988,0.00822215098754089,0.0002241647699766789,0.0014723791474225037,0.009311425919987014,0.0031599320035208666,0.03995223523738701,0.003513498623217897,0.0023697455086489094,0.0008371067611299672,0.00020029497131167026,0.051258126725179765,0.011264537969645185,0.002577644423535379,0.4863674562205304,0.012913290062888239,2.5877444645179454e-05,0.0046848251736676975,0.0010838937503670587,4.304816514998022e-05,0.0009444073501786006,0.00019341430161211892,0.01200564911772418
Neuroectoderm_and_glia,0.004611209553464788,0.0019083363624066822,0.11332935570469226,0.0001777956772463206,0.022155353678846468,0.007556056393061868,0.002329092962792269,0.011620406883842473,0.012397022739456073,0.0006520559543987881,0.0018798554728865428,0.0078783810536863,0.004541411123697027,0.09470827774787946,0.0046816012356594725,0.0033992442053502494,0.0009500163455373615,0.00021098502769201298,0.05583966768611985,0.01342053684411174,0.010709701078584094,0.003119990415978521,0.5976612032898572,2.8634270330895175e-05,0.0039393292938943465,0.007148464501751305,2.597278348153373e-05,0.000992287909261954,0.00030316750249861956,0.011824586301533525
Olfactory_sensory_neurons,0.004928330617889128,0.00326394442193604,0.29468668659506336,9.107625002418296e-05,0.009666487952573015,0.006433522114647788,0.002634885125450533,0.01321528996794895,0.005650041845841359,0.000284053309053772,0.0012689861965191644,0.003357164460195496,0.003062371749971747,0.03220262876907511,0.002850139392232216,0.0017107040126136043,0.0006771277086164498,0.00012086169335493515,0.04357788509663003,0.00518790466508468,0.0018083613374533303,0.05484688869013733,0.011418092511049405,1.1766239827820283e-05,0.483251232924328,0.000748039892789143,0.005060428020054226,0.0005607130807292005,0.00021457185469036348,0.007209813504219648
Olidendrocytes,0.001770000219245894,0.0007677824525410791,0.1890535368434729,5.0826889863435106e-05,0.009315789745304365,0.005611518438949436,0.00018258269253016392,0.0030652480424013346,0.00377790981871488,6.780102607533256e-05,0.000517021111732646,0.002577214753469133,0.0011508152904298526,0.029085347641541894,0.0014224220171246648,0.001025653102482472,0.00036989653287779125,7.338674967274431e-05,0.022013947528597765,0.004351879036202797,0.0019152503367826494,0.002070790404690911,0.057879966175485895,9.623181610867804e-06,0.0009222159345996249,0.6554479646914549,8.807020954726961e-07,0.0003895563451180177,6.576199714671257e-05,0.0050474102977842794
Primitive_erythroid,0.007334763845945939,0.00609039803036238,0.0882455935224815,0.001243435540662909,0.2559374205711648,0.0349454985795032,0.003398331654456797,0.0615461673236312,0.019876088877670568,0.0009301880166045988,0.012420899424026377,0.01957698156733074,0.015632904613798144,0.02934214364971981,0.02388745575593531,0.017060504902840046,0.016363268331803026,0.006608432289391643,0.1663703323501404,0.018500463843562114,0.010153003952998908,0.005051383738734573,0.046180744165330745,3.1059046778916524e-05,0.007949432144035807,0.001731989595840212,1.4842190896474983e-06,0.005487328424663228,0.0028471891077435064,0.11525511291375297
Primordial_germ_cells,0.10410052899591411,0.0069168333504631245,0.04247379078014893,5.616722241537709e-05,0.04823155496200834,0.03041230620306132,0.00042967211667335037,0.17117940484154429,0.005747731509075806,6.229257485718004e-05,0.008460581596586251,0.03291005383031375,0.030227507583450268,0.02158505358288407,0.1270362182883978,0.00865180075424977,0.0019436402455967777,0.000786323185855095,0.09134039600139943,0.05040660675652578,0.005614068554184467,0.002979878439720193,0.025838651660739283,3.579927703643296e-05,0.019515928559038432,0.00022672589026199511,0.12323899995292759,0.005425006805339999,0.0025992743642675857,0.03156720211506319
T_cells,0.02709016155924209,0.01758705234686714,0.05495851389631524,0.0004597855068375201,0.14568336050107888,0.03981765661682323,0.002193669051214261,0.052849928844197154,0.010567486099093413,0.0002157759407056229,0.010337174687080944,0.027197952832119923,0.009693286210067415,0.022749753266178962,0.079777097779896,0.011867061047286846,0.023962342687443162,0.005236714054328875,0.12598530725137788,0.04316985158197168,0.007172226778857092,0.0032489839366114906,0.024644439603726486,5.379165573049178e-05,0.004687582990992163,0.0008820839419341774,0.0004885282746647915,0.020581649252015978,0.0009441292910409788,0.2258966525143001
Testis_and_adrenal,0.006856095829656018,0.0014389262923663348,0.016958791397814442,0.013091072158564332,0.01305555524162275,0.042193884985058154,0.01853295562040839,0.27304425248303543,0.004052476404612146,0.0006834323720220931,0.03775686689464246,0.04000514659663011,0.06541187920539329,0.006152740081677345,0.10265718924725431,0.006843342298593557,0.002660980390890303,0.0015744916988872058,0.1059109992849743,0.015579408630898784,0.0030574565095695594,0.0017070130776384218,0.014191895418081616,2.0408262132463825e-05,0.0023729323364751966,0.0002244248850659928,0.0001724524735632249,0.004064652050029489,0.17863048228845319,0.02109779558398908
White_blood_cells,0.013225013436720483,0.014153850249242874,0.03828750667123223,0.0003997316258353218,0.08032784073573933,0.03324658201234472,0.001552051411482442,0.026991277989983783,0.007175467893987463,0.00018978218035010542,0.00600596570275335,0.017553432601534493,0.006539599066806743,0.015933592669102766,0.029775271062800184,0.007162578856078379,0.029071506030504693,0.005396217212414069,0.0872143672172671,0.026348997007305825,0.004953231796789868,0.002356310450222557,0.016104173700457053,3.877432495552117e-05,0.0030577979333141995,0.0006754754124922589,0.00019027912822190712,0.011460358441559976,0.0008319904471125326,0.5137809767313878
