,Neural Crest/Mid-HindBrain_3_corr,Neural Crest/Mid-HindBrain_3_pval,Neural Crest/Mid-HindBrain_3_qval,Neural Crest/Mid-HindBrain_3_ci_low,Neural Crest/Mid-HindBrain_3_ci_high,gene_annotation
ENSMUSG00000017802,-0.07076711725152524,2.7095955966873516e-31,5.0770013053913285e-31,-0.08263685604254507,-0.05887730334170143,Fam134c
ENSMUSG00000037762,-0.07078003520765387,2.6427470627431664e-31,4.953602741786629e-31,-0.08264975035644127,-0.05889024131240805,Slc16a9
ENSMUSG00000020925,-0.07083829404947191,2.3610410064698915e-31,4.426398587307633e-31,-0.08270790252450085,-0.058948590467834135,Ccdc43
ENSMUSG00000030770,-0.07085562349956999,2.283151189007691e-31,4.281176052892726e-31,-0.08272520022823686,-0.05896594679794648,Parva
ENSMUSG00000054871,-0.07086966983721023,2.221893868312829e-31,4.167092776280624e-31,-0.08273922082870364,-0.05898001492838217,Tmem158
ENSMUSG00000034667,-0.07092521666380039,1.9952249885570545e-31,3.7440889257966867e-31,-0.08279466583053961,-0.059035647981753946,Xpot
ENSMUSG00000024168,-0.07093097892224291,1.9730677783660077e-31,3.70320528972599e-31,-0.08280041752178588,-0.05904141918932803,Tmem204
ENSMUSG00000045751,-0.07094935962493594,1.9040092047518544e-31,3.5742616946721503e-31,-0.08281876451149234,-0.059059828443661366,Mms22l
ENSMUSG00000097855,-0.07096853938434677,1.8345061083713289e-31,3.444435051391906e-31,-0.0828379090837476,-0.05907903800454815,A930007I19Rik
ENSMUSG00000046213,-0.07097470195232511,1.812713568880925e-31,3.404796335238402e-31,-0.08284406034402905,-0.05908521014978275,Cym
ENSMUSG00000001349,-0.07097480620840048,1.8123471100633038e-31,3.404747529707503e-31,-0.08284416440879715,-0.05908531456789045,Cnn1
ENSMUSG00000007122,-0.07098955960459707,1.7612238277460848e-31,3.309326996892305e-31,-0.08285889073027382,-0.05910009089609249,Casq1
ENSMUSG00000006411,-0.07099288875947876,1.7498871378353862e-31,3.2886433712373353e-31,-0.08286221377493447,-0.059103425226381005,Nectin4
ENSMUSG00000040675,-0.07099969895206575,1.7269217329279915e-31,3.2460934829473524e-31,-0.08286901146749644,-0.05911024600672067,Mthfd1l
ENSMUSG00000049288,-0.07102548187836696,1.642654875090871e-31,3.088277636944672e-31,-0.08289474705954603,-0.059136069027591456,Lix1l
ENSMUSG00000010609,-0.07114043536670607,1.3139635139988574e-31,2.4717146613973995e-31,-0.08300948931491084,-0.059251201471678026,Psen2
ENSMUSG00000074194,-0.07115268769468873,1.283037210828778e-31,2.4144471411907757e-31,-0.08302171911004913,-0.059263472892328695,Zfp791
ENSMUSG00000055116,-0.07117065443342908,1.2389893554173548e-31,2.3319957753008746e-31,-0.08303965280029942,-0.059281467634938585,Arntl
ENSMUSG00000054099,-0.07117938446780991,1.2181317942696126e-31,2.2940335108655605e-31,-0.08304836677365103,-0.05929021127918281,Slc25a40
