,Cardiac_1_corr,Cardiac_1_pval,Cardiac_1_qval,Cardiac_1_ci_low,Cardiac_1_ci_high,gene_annotation
ENSMUSG00000056853,0.06002975701079064,8.452193417484271e-34,1.6378709770013718e-33,0.05033876082402833,0.06970945017920097,Olfr765
ENSMUSG00000086328,0.0600099715145656,8.875214226206664e-34,1.7195727563275414e-33,0.05031895409289095,0.06968968961637356,2700033N17Rik
ENSMUSG00000092622,0.06000860217217906,8.905257422907985e-34,1.72525747847579e-33,0.05031758328113085,0.06968832199933152,Khdc3
ENSMUSG00000056782,0.060007421786543044,8.931235985594439e-34,1.7301539049890695e-33,0.05031640162891071,0.06968714310092902,Olfr667
ENSMUSG00000039321,0.06000728348426323,8.934284738954197e-34,1.730607959848548e-33,0.05031626317823077,0.06968700497290217,Uts2r
ENSMUSG00000021388,0.05999651166412644,9.174943347396572e-34,1.7769441434509792e-33,0.050305479800936734,0.0696762467235026,Aspn
ENSMUSG00000020193,0.059993895948118756,9.23434736221991e-34,1.7881670197746134e-33,0.050302861278850954,0.0696736343025309,Zpbp
ENSMUSG00000045672,0.05999209547262059,9.275458746769316e-34,1.79598630245016e-33,0.05030105887192279,0.06967183609502729,Col27a1
ENSMUSG00000057203,0.05998424498687957,9.456848669286399e-34,1.8309640290854006e-33,0.05029319996544209,0.06966399549752723,Vmn1r234
ENSMUSG00000086056,0.05998277763533659,9.491141407399174e-34,1.837458632979534e-33,0.05029173104009328,0.06966252999408445,Gm4846
ENSMUSG00000106249,0.059975099216327564,9.672614306159343e-34,1.872443636717056e-33,0.050284044386290465,0.06965486124521066,Gm43349
ENSMUSG00000043274,0.05996544748935246,9.905620713910736e-34,1.9173982952375936e-33,0.05027438230985719,0.06964522167191507,Olfr1123
ENSMUSG00000111005,0.05995638183988835,1.0129552742186353e-33,1.960589506709967e-33,0.050265306941032574,0.06963616743648164,RP23-395M5.6
ENSMUSG00000070719,0.05995584365433011,1.0143003541880487e-33,1.9630381756286438e-33,0.05026476817853131,0.06963562992847132,Pla2g4d
ENSMUSG00000074366,0.059946331862120464,1.038367942404351e-33,2.009300892332253e-33,0.05025524619046785,0.06962613011019086,Obox5
ENSMUSG00000093804,0.05994071383603287,1.052848743415621e-33,2.0371615058980477e-33,0.05024962214314898,0.06962051915553637,Olfr1303
ENSMUSG00000058715,0.05993543399365281,1.0666406235460594e-33,2.0636848376125176e-33,0.05024433664255299,0.06961524595835786,Fcer1g
ENSMUSG00000108814,0.05992583525012752,1.0921754832692347e-33,2.1129219498247774e-33,0.05023472761379229,0.06960565929441086,Gm44766
ENSMUSG00000075046,0.05991339457237299,1.1261759199364464e-33,2.1785275123132393e-33,0.050222273608285614,0.06959323427001815,Duxf3
ENSMUSG00000027940,0.059906756426399546,1.1447460332640778e-33,2.2142759480579563e-33,0.05021562835207065,0.06958660447519854,Tpm3
ENSMUSG00000056426,0.059904526411927915,1.15105246293704e-33,2.2262990444328193e-33,0.05021339594918161,0.06958437726601625,Nat3
ENSMUSG00000095710,0.059903657083739834,1.1535202405310447e-33,2.2308963328490123e-33,0.05021252568994125,0.06958350903139006,Gm8871
ENSMUSG00000014747,0.05987150241308235,1.2485855406612909e-33,2.4141811461896374e-33,0.05018033659190399,0.0695513947990456,Ankrd53
ENSMUSG00000015755,0.05985222456483334,1.3092703517303037e-33,2.5311185571403476e-33,0.05016103811289199,0.0695321411853577,Tab2
ENSMUSG00000024989,0.05984406680470545,1.3358240631968216e-33,2.5822496181094692e-33,0.05015287162467347,0.06952399367833849,Cep55
ENSMUSG00000022789,0.05982364374782957,1.4046706983964269e-33,2.7151216333671132e-33,0.05013242672259425,0.069503596284588,Dnm1l
ENSMUSG00000020652,0.05981146906322783,1.4473766590675556e-33,2.797448770638953e-33,0.05012023901939562,0.06949143689455349,Cenpo
ENSMUSG00000036103,0.059803565515681764,1.4757882527464657e-33,2.852137372593768e-33,0.050112327021997076,0.06948354327437704,Colec12
ENSMUSG00000034826,0.059795856066772284,1.5040356429231671e-33,2.9065000476229516e-33,0.0501046093319221,0.06947584350786881,Nup54
ENSMUSG00000097783,0.05978664286028119,1.538497905484393e-33,2.9726293047495726e-33,0.05009538627831258,0.06946664187085573,Gm26747
ENSMUSG00000020717,0.05978358862322362,1.55009457025585e-33,2.9948002745452966e-33,0.050092328777236884,0.0694635914687908,Pecam1
ENSMUSG00000074994,0.05978005373274811,1.563624658421094e-33,3.02070285731015e-33,0.050088790109302804,0.06946006101660496,Qser1
ENSMUSG00000005897,0.05977499853561498,1.5831779044546426e-33,3.0582363422636027e-33,0.05008372951050212,0.0694550121661861,Nr2c1
ENSMUSG00000094986,0.05976648228840007,1.6166689994276065e-33,3.122685648174541e-33,0.05007520416448326,0.06944650660985377,Olfr1454
ENSMUSG00000028264,0.05976256118989278,1.6323248261666613e-33,3.152429727998417e-33,0.05007127887712825,0.06944259043322967,Spaca1
ENSMUSG00000039167,0.05975535024829198,1.6615101747643427e-33,3.208541592796456e-33,0.05006406023297376,0.06943538854224524,Adgrl4
ENSMUSG00000025277,0.05973913670305569,1.7290388466230835e-33,3.3386835833495826e-33,0.0500478293725178,0.06941919534331237,Abhd6
ENSMUSG00000024592,0.05971325311403776,1.842535517214412e-33,3.556720812850715e-33,0.050021918151787435,0.06939334422491923,C330018D20Rik
ENSMUSG00000107405,0.05970618290591652,1.874804058516507e-33,3.6187255695516735e-33,0.0500148403982195,0.06938628288402127,Gm44115
ENSMUSG00000039110,0.05970391861016265,1.885256526984091e-33,3.638614751239164e-33,0.05001257368617637,0.06938402142786783,Mycbpap
ENSMUSG00000092250,0.05970109462732565,1.898373769901759e-33,3.6636435150627256e-33,0.050009746689933285,0.06938120098638235,Gm20467
ENSMUSG00000050963,0.05968703753052671,1.9650291058762164e-33,3.791982599031114e-33,0.0499956745954453,0.0693671615152639,Kcns2
ENSMUSG00000046995,0.05968278701163916,1.9856379902828094e-33,3.8314511110832705e-33,0.04999141954238465,0.0693629163251918,2610303G11Rik
ENSMUSG00000035394,0.059681383961413335,1.992487773765363e-33,3.844366194222962e-33,0.04999001499555465,0.06936151503387324,Cfap53
ENSMUSG00000029171,0.059641578278867666,2.1969098444033786e-33,4.2374523135982205e-33,0.04995016686909538,0.06932175923705003,Pgm1
ENSMUSG00000027827,0.05960911258475941,2.3789565371161174e-33,4.587867480895053e-33,0.04991766658038473,0.06928933420719632,Kcnab1
ENSMUSG00000026305,0.059608837258440024,2.380562760950716e-33,4.590604532427112e-33,0.04991739096077251,0.06928905922564395,Lrrfip1
ENSMUSG00000047841,0.059589173955294984,2.4981057233080386e-33,4.8165141918218135e-33,0.04989770671500662,0.06926942054132475,BC051628
ENSMUSG00000101453,0.05956159539130347,2.6727358228329315e-33,5.151190040206777e-33,0.04987009879084235,0.06924187649357359,Gm28189
