,Pharyngeal Mesoderm/Neural Crest_1_corr,Pharyngeal Mesoderm/Neural Crest_1_pval,Pharyngeal Mesoderm/Neural Crest_1_qval,Pharyngeal Mesoderm/Neural Crest_1_ci_low,Pharyngeal Mesoderm/Neural Crest_1_ci_high,gene_annotation
ENSMUSG00000058351,-0.06272217061740747,6.394207622190256e-25,1.727230584060037e-24,-0.07460586114996795,-0.05082066794393699,Smim4
ENSMUSG00000059486,-0.06272598952535245,6.3524732536516515e-25,1.7164207656448666e-24,-0.07460967380080435,-0.050824492033045225,Kbtbd2
ENSMUSG00000026385,-0.06272848568704255,6.325340291786255e-25,1.7095514302125013e-24,-0.07461216587245827,-0.05082699158149974,Dbi
ENSMUSG00000049357,-0.06273301626620024,6.276386477866564e-25,1.696779258682499e-24,-0.0746166890277462,-0.050831528308077724,4933408B17Rik
ENSMUSG00000096299,-0.06273318467076447,6.274574086857508e-25,1.6967479953643884e-24,-0.07461685715635093,-0.050831696941155004,Gm21814
ENSMUSG00000021620,-0.06273478701377191,6.257355388383949e-25,1.6925494694032862e-24,-0.07461845687361346,-0.05083330145846237,Acot12
ENSMUSG00000034714,-0.06273883494370924,6.214064776226474e-25,1.6812945823123575e-24,-0.07462249816997235,-0.05083735488151332,Ttyh2
ENSMUSG00000045973,-0.06274031390198442,6.1983221728289465e-25,1.677489086015953e-24,-0.07462397470449514,-0.050838835846859234,Slc25a51
ENSMUSG00000021392,-0.06274615395368816,6.1365435549657e-25,1.6612191540242825e-24,-0.0746298051848726,-0.05084468382451561,Nol8
ENSMUSG00000033282,-0.06274685972055494,6.12911908570538e-25,1.6596585663973408e-24,-0.07463050979499511,-0.050845390549284455,Rpgrip1l
ENSMUSG00000010592,-0.06274786242597642,6.11858620811227e-25,1.657255202630626e-24,-0.07463151085697282,-0.05084639461564834,Dazl
ENSMUSG00000053819,-0.06275100827536108,6.085657019567861e-25,1.648782720012967e-24,-0.0746346515501249,-0.05084954473495746,Camk2d
ENSMUSG00000056880,-0.06276038575216501,5.988536482074882e-25,1.6229096157384504e-24,-0.07464401365529272,-0.05085893494140382,Gadl1
ENSMUSG00000101621,-0.06276056817356267,5.98666249039791e-25,1.6228415533743318e-24,-0.07464419577764296,-0.05085911761045389,Gm28905
ENSMUSG00000020262,-0.06276582870444933,5.932870982387098e-25,1.6086960364390178e-24,-0.0746494476844846,-0.05086438528329712,Adarb1
ENSMUSG00000040356,-0.0627679838824483,5.910971765615332e-25,1.603192776136515e-24,-0.0746515993291228,-0.05086654338746342,Skiv2l
ENSMUSG00000110234,-0.0627718800794993,5.871584765335712e-25,1.5929421501182072e-24,-0.07465548913817474,-0.0508704448748118,Dnhd1
ENSMUSG00000040713,-0.06278153930786178,5.775056652956223e-25,1.5671795530410374e-24,-0.07466513252821656,-0.05088011722014284,Creg1
ENSMUSG00000022893,-0.06280243347464183,5.571599986791579e-25,1.5123778465775189e-24,-0.07468599242704597,-0.0509010397682694,Adamts1
