,Pharyngeal Mesoderm/Neural Crest_corr,Pharyngeal Mesoderm/Neural Crest_pval,Pharyngeal Mesoderm/Neural Crest_qval,Pharyngeal Mesoderm/Neural Crest_ci_low,Pharyngeal Mesoderm/Neural Crest_ci_high,gene_annotation
ENSMUSG00000049723,-0.19429787894328754,6.036428909317614e-229,1.008961825730588e-228,-0.2057601111910923,-0.18278234214581268,Mmp12
ENSMUSG00000038496,-0.1943144518091652,5.5090432800641784e-229,9.208743914224926e-229,-0.205776605076356,-0.18279898980238402,Slc19a3
ENSMUSG00000036009,-0.1943226871370742,5.264356305887222e-229,8.800331995788323e-229,-0.20578480115508507,-0.18280726229746702,Mettl25
ENSMUSG00000087684,-0.19432387389782635,5.230002014137622e-229,8.743497851770864e-229,-0.20578598225965952,-0.18280845441436902,1200007C13Rik
ENSMUSG00000020447,-0.19432641146623347,5.15729417182127e-229,8.622532278280954e-229,-0.2057885077337412,-0.18281100343557444,Npc1l1
ENSMUSG00000063260,-0.19433155092002666,5.01311457346257e-229,8.382047739556865e-229,-0.20579362269187404,-0.18281616608572004,Syt10
ENSMUSG00000029526,-0.1943351142838342,4.9155203807177906e-229,8.21942766378691e-229,-0.20579716907161236,-0.18281974553274616,1700123K08Rik
ENSMUSG00000032899,-0.19434237425533232,4.722516070433518e-229,7.89723570094563e-229,-0.20580439443895987,-0.18282703827302138,Styk1
ENSMUSG00000038546,-0.19434318449613142,4.701451205121045e-229,7.862545466121647e-229,-0.20580520081772485,-0.18282785217102088,Ranbp9
ENSMUSG00000111400,-0.19435742544122156,4.346163952211679e-229,7.268870392009615e-229,-0.20581937388043442,-0.1828421573983321,RP23-421M6.3
ENSMUSG00000069631,-0.1943613716477462,4.2525482832862266e-229,7.11278462097169e-229,-0.2058233012757068,-0.18284612141850637,Strada
ENSMUSG00000025885,-0.1943714565251915,4.022355719969063e-229,6.728224392742911e-229,-0.20583333807766696,-0.18285625182199938,Myo5b
ENSMUSG00000109008,-0.19437356431205377,3.975840121428226e-229,6.65087052267533e-229,-0.20583543581622185,-0.18285836912432887,Gm44899
ENSMUSG00000036095,-0.19437483721025664,3.948009873187441e-229,6.604765495127968e-229,-0.2058367026461736,-0.18285964776899996,Dgkb
ENSMUSG00000021965,-0.19437674845372266,3.9065880874751835e-229,6.53591487043889e-229,-0.2058386047781513,-0.1828615676408016,Ska3
ENSMUSG00000043219,-0.19437761565934347,3.8879368694400415e-229,6.5051537425713445e-229,-0.20583946784950632,-0.1828624387614634,Hoxa6
ENSMUSG00000031565,-0.19438437306155476,3.74561816951027e-229,6.267458413263555e-229,-0.20584619303625934,-0.18286922667090755,Fgfr1
ENSMUSG00000045775,-0.1943962694812553,3.507594907427986e-229,5.86957948249536e-229,-0.2058580327379523,-0.18288117680131838,Slc16a5
ENSMUSG00000054446,-0.19439880888122196,3.4587772301715934e-229,5.788282908811462e-229,-0.2058605600305051,-0.18288372766676977,Cpa1
ENSMUSG00000109278,-0.19442811126806606,2.942250230457843e-229,4.92420774766196e-229,-0.20588972269764458,-0.1829131623661903,Gm45144
ENSMUSG00000000120,-0.19443403392184203,2.847610215934076e-229,4.76614125172905e-229,-0.20589561710853665,-0.18291911176574208,Ngfr
ENSMUSG00000001751,-0.19445220688793385,2.5757838208910786e-229,4.311470164338544e-229,-0.20591370340947188,-0.18293736680336345,Naglu
ENSMUSG00000069922,-0.1944742903629258,2.280113572083603e-229,3.816823373682186e-229,-0.2059356815599209,-0.18295955002094974,Ces3a
ENSMUSG00000099869,-0.1944745270534169,2.277135609114371e-229,3.812098286852314e-229,-0.20593591712148182,-0.18295978778054459,1700030F04Rik
ENSMUSG00000015697,-0.19451103149912752,1.8614095357699746e-229,3.1163536939805263e-229,-0.20597224743796214,-0.1829964571287665,Setdb1
ENSMUSG00000038641,-0.19451165220522723,1.8550395203355143e-229,3.1059008662900673e-229,-0.20597286518296914,-0.18299708063907552,Akr1d1
ENSMUSG00000086899,-0.19452599994829195,1.713714777417191e-229,2.869475906372971e-229,-0.20598714447725,-0.18301149320456978,1600002D24Rik
ENSMUSG00000028884,-0.1945310964937223,1.6661467429535357e-229,2.7900173805071077e-229,-0.2059922167074141,-0.1830166127771444,Rpa2
ENSMUSG00000033713,-0.19454159818427286,1.5722488926415148e-229,2.6329619270264288e-229,-0.2060026682931824,-0.18302716191826374,Foxn3
ENSMUSG00000057173,-0.19454283528464908,1.5615416918094897e-229,2.6152095236907636e-229,-0.20600389949103723,-0.1830284046084971,Rfx8
ENSMUSG00000086475,-0.19454636326925456,1.5314051107202008e-229,2.564912905273373e-229,-0.20600741064252917,-0.1830319485345575,Platr13
ENSMUSG00000049946,-0.19455432335399447,1.4655260756145262e-229,2.4547411794574872e-229,-0.2060153327461411,-0.18303994458861844,BC030500
ENSMUSG00000071533,-0.1945629276001261,1.3974963157727547e-229,2.3409517326091747e-229,-0.2060238959358727,-0.1830485877165634,Pcnp
ENSMUSG00000026177,-0.19457918427610232,1.2774553125398371e-229,2.1400165688781444e-229,-0.2060400750359861,-0.18306491785985282,Slc11a1
ENSMUSG00000058979,-0.19461790597184883,1.0313962130100057e-229,1.7279317517449102e-229,-0.20607861192893276,-0.18310381457261962,Cecr5
ENSMUSG00000020476,-0.1946221737322629,1.0073559822006233e-229,1.6877715350750446e-229,-0.2060828593188987,-0.18310810162496033,Dbnl
ENSMUSG00000041477,-0.19462489754867307,9.923062363187438e-230,1.6626699456833277e-229,-0.20608557013403445,-0.1831108377543024,Dcp1b
ENSMUSG00000049670,-0.1946258578174809,9.870542434859114e-230,1.6539827863817974e-229,-0.20608652581926148,-0.18311180236401964,Morn4
ENSMUSG00000036526,-0.19462586919544272,9.86992180815943e-230,1.6539827863817974e-229,-0.20608653714291356,-0.18311181379341582,Card11
ENSMUSG00000075486,-0.19462967703719136,9.664392219943588e-230,1.6196597800959385e-229,-0.20609032680875378,-0.183115638848789,Commd6
ENSMUSG00000040413,-0.19463441275128548,9.414735627057843e-230,1.577927429282027e-229,-0.206095039917462,-0.18312039597150817,Timd2
ENSMUSG00000071540,-0.1946352796576663,9.369736809649615e-230,1.5704927508910251e-229,-0.20609590268570746,-0.1831212667969495,3425401B19Rik
ENSMUSG00000026825,-0.19465050838387637,8.61338655352912e-230,1.4438169363162898e-229,-0.20611105871542923,-0.18313656437125614,Dnm1
ENSMUSG00000020087,-0.19466731520862435,7.849263679806594e-230,1.3158208511990406e-229,-0.20612778530402842,-0.18315344718505575,Tysnd1
ENSMUSG00000035623,-0.19467103787420315,7.689393525608461e-230,1.2891088415209216e-229,-0.20613149019661434,-0.18315718668291978,Rsf1
ENSMUSG00000029101,-0.1946828571950257,7.203055186742942e-230,1.207657818525763e-229,-0.2061432530866866,-0.1831690594478124,Rgs12
ENSMUSG00000051969,-0.19470169461529926,6.49065762177346e-230,1.0882921937429623e-229,-0.20616200056180234,-0.18318798205322284,Tlr11
ENSMUSG00000051998,-0.19470215127653254,6.474290945490294e-230,1.0856221233006262e-229,-0.2061624550424592,-0.18318844077964044,Lax1
ENSMUSG00000027829,-0.19470284140833954,6.449634914606149e-230,1.081561617535757e-229,-0.2061631418788487,-0.18318913403247816,Ccnl1
ENSMUSG00000035864,-0.19471236229420696,6.118906342086494e-230,1.0261706865499153e-229,-0.20617261730080752,-0.18319869797647356,Syt1
ENSMUSG00000109442,-0.19473290315121203,5.461945795441118e-230,9.160577441742628e-230,-0.20619306006427854,-0.18321933173675858,Gm34964
ENSMUSG00000023263,-0.19473916197141353,5.2761414997647515e-230,8.849557733448845e-230,-0.2061992889932911,-0.18322561886670122,9530002B09Rik
ENSMUSG00000007594,-0.19474747518695568,5.039075886835275e-230,8.452510157380588e-230,-0.20620756250472339,-0.1832339696858311,Hapln4
ENSMUSG00000062510,-0.19474863139756185,5.006958559714152e-230,8.39921061479242e-230,-0.20620871319311115,-0.18323513112651477,Nsl1
ENSMUSG00000079343,-0.19475814621341275,4.750303085268787e-230,7.969213621422566e-230,-0.20621818256370952,-0.1832446889835165,C1s2
ENSMUSG00000058761,-0.1947716497027609,4.408456258534675e-230,7.396229196360759e-230,-0.20623162155317096,-0.18325825356088613,Rnf169
ENSMUSG00000047696,-0.19477837158597172,4.247564136046985e-230,7.126781566884821e-230,-0.20623831132746107,-0.18326500585465266,Ccdc144b
ENSMUSG00000038192,-0.194780331153004,4.201774747186409e-230,7.050435592736518e-230,-0.2062402615338817,-0.18326697428719113,Cer1
ENSMUSG00000029833,-0.19480549050141996,3.6558766747124254e-230,6.134856408826428e-230,-0.2062653006910842,-0.1832922474701573,Trim24
ENSMUSG00000110430,-0.19482823781099362,3.2235723692626988e-230,5.40978460766492e-230,-0.20628793931931497,-0.18331509771400847,Cmtm1
ENSMUSG00000020220,-0.19482877420128517,3.214019998017578e-230,5.394122564175787e-230,-0.20628847314671067,-0.18331563653167993,Vps13d
ENSMUSG00000084772,-0.19483673872961157,3.075464918364477e-230,5.161937016385332e-230,-0.20629639961937615,-0.1833236371034862,Gm15473
ENSMUSG00000092622,-0.19484578893457952,2.9252513142887e-230,4.910150425132711e-230,-0.20630540657933863,-0.18333272826701577,Khdc3
ENSMUSG00000035805,-0.19484830568126918,2.8847969900119773e-230,4.842577307450709e-230,-0.20630791129979817,-0.18333525640410953,Mlc1
ENSMUSG00000020056,-0.1948593961593022,2.7130824832535165e-230,4.55463939342498e-230,-0.20631894878038645,-0.18334639707773534,Ccdc53
ENSMUSG00000021265,-0.19486108376093644,2.6878638352465108e-230,4.512611657752484e-230,-0.2063206283173179,-0.18334809231772742,Slc25a29
ENSMUSG00000046173,-0.1948743331591563,2.4978379733265726e-230,4.193867053348425e-230,-0.2063338143970291,-0.18336140168724466,Pabpc6
ENSMUSG00000032440,-0.19487510793082669,2.4871509188727393e-230,4.176209093158494e-230,-0.2063345854659582,-0.1833621799659266,Tgfbr2
ENSMUSG00000068798,-0.19487684104945532,2.463409690472202e-230,4.136627776518262e-230,-0.2063363103017211,-0.18336392092958598,Rap1a
ENSMUSG00000097662,-0.19488315005216209,2.378881566106344e-230,3.9952322464630242e-230,-0.20634258915203993,-0.1833702584908556,Gm2093
ENSMUSG00000053522,-0.1949038779661875,2.121040780188429e-230,3.562443099958018e-230,-0.20636321799525367,-0.18339108023935335,Lgals7
ENSMUSG00000029089,-0.19490440936098416,2.114811313532516e-230,3.5522232585243444e-230,-0.20636374685007022,-0.18339161403988974,5730480H06Rik
ENSMUSG00000025779,-0.1949187790170439,1.9531143355423083e-230,3.2808472335957e-230,-0.20637804781898805,-0.18340604875307828,Ly96
ENSMUSG00000050945,-0.19492765493395908,1.8594692013367179e-230,3.123755582019781e-230,-0.20638688130645955,-0.1834149648572679,Zfp438
ENSMUSG00000108739,-0.19493018098710552,1.8336476430892103e-230,3.080588266944457e-230,-0.20638939528400166,-0.18341750234791032,Gm45096
ENSMUSG00000038522,-0.19493064545859864,1.8289389065813615e-230,3.072887705083527e-230,-0.2063898575351078,-0.18341796892246018,Mfsd4b1
ENSMUSG00000050730,-0.19494149286544105,1.7223402279100563e-230,2.8939842099403027e-230,-0.20640065308491043,-0.18342886544619624,Arhgap42
ENSMUSG00000026851,-0.19495173264286036,1.6274143343217839e-230,2.734670914808599e-230,-0.20641084390755926,-0.18343915159176827,BC005624
ENSMUSG00000110670,-0.19495555202939144,1.5933615446914347e-230,2.6776326245902876e-230,-0.20641464503356555,-0.18344298827403738,RP23-60O19.3
ENSMUSG00000069769,-0.1949815119316111,1.380027912178816e-230,2.319285734808289e-230,-0.20644048081207125,-0.18346906574256255,Msi2
ENSMUSG00000108941,-0.19498510158429497,1.352866729006385e-230,2.2737940806794065e-230,-0.2064440533000654,-0.18347267165321626,D530014G21Rik
ENSMUSG00000006527,-0.1950059139157843,1.2055893819184345e-230,2.0264003905566784e-230,-0.20646476610693326,-0.18349357825236975,Sfmbt1
ENSMUSG00000022020,-0.19501031761362414,1.1765417800005823e-230,1.9777114735433586e-230,-0.20646914874496256,-0.18349800189771487,Naa16
ENSMUSG00000022673,-0.19502890288468688,1.0614558729974969e-230,1.7843796366884318e-230,-0.20648764513059162,-0.18351667135993346,Mcm4
ENSMUSG00000109403,-0.19506446144884246,8.716768468544545e-231,1.465448503421704e-230,-0.2065230336104598,-0.18355239102729615,Olfr1311
ENSMUSG00000091764,-0.19508338479525206,7.849154895851747e-231,1.3196771280076156e-230,-0.20654186643019698,-0.183571400121052,Zfp964
ENSMUSG00000087574,-0.19509236309448877,7.468234818704501e-231,1.255719088267586e-230,-0.20655080177552196,-0.18358041910666123,C030037D09Rik
