,Forebrain/Midbrain/Hindbrain_2_corr,Forebrain/Midbrain/Hindbrain_2_pval,Forebrain/Midbrain/Hindbrain_2_qval,Forebrain/Midbrain/Hindbrain_2_ci_low,Forebrain/Midbrain/Hindbrain_2_ci_high,gene_annotation
ENSMUSG00000036781,0.10885924802447144,7.179640969386999e-234,8.540019625037044e-234,0.10237235607444904,0.11533688179380044,Rps27l
ENSMUSG00000049128,0.1087316144512737,2.5324613681165324e-233,3.012013346412687e-233,0.10224454562281,0.11520943569404497,Ivl
ENSMUSG00000062046,0.10861501494489449,7.999777936855407e-233,9.513249438422645e-233,0.10212778471653523,0.11509300726741199,5730460C07Rik
ENSMUSG00000057074,0.10853822869621409,1.705076176732283e-232,2.0274617537355196e-232,0.10205089227606287,0.11501633358557609,Ces1g
ENSMUSG00000050931,0.10852561605916763,1.9306626078632997e-232,2.295589536939306e-232,0.10203826220374133,0.11500373943097987,Sgms2
ENSMUSG00000006216,0.10845408214220212,3.9051600453583644e-232,4.643074548844483e-232,0.10196662944032209,0.11493231029980228,Clcnkb
ENSMUSG00000107253,0.10845257702061104,3.963452244783445e-232,4.712153383077001e-232,0.101965122239658,0.11493080738225486,Gm43634
ENSMUSG00000086563,0.1084410393605511,4.440144670095224e-232,5.2786379982654436e-232,0.10195356864324522,0.11491928661652705,Platr15
ENSMUSG00000097136,0.10842858697967755,5.019089948639056e-232,5.966624530043389e-232,0.10194109906452765,0.11490685246743497,Gm26772
ENSMUSG00000103392,0.10834618784353843,1.1289702110341347e-231,1.3419741767760868e-231,0.10185858617924103,0.11482457392237015,Gm38303
ENSMUSG00000061947,0.10828676673364955,2.0248521783648362e-231,2.4066500790634388e-231,0.1017990830959699,0.11476523972006954,Serpina10
ENSMUSG00000105092,0.10823389536377893,3.4042244584203614e-231,4.045915330774359e-231,0.10174613882732807,0.11471244563946527,Gm42468
ENSMUSG00000025505,0.10821391234805741,4.142521400144551e-231,4.923141750150008e-231,0.1017261282686982,0.11469249182610379,Tmem80
ENSMUSG00000102362,0.10817533137365833,6.050670006259797e-231,7.190515488561982e-231,0.10168749413238157,0.11465396721756932,4930509J09Rik
ENSMUSG00000028247,0.10816843217988605,6.47471304808518e-231,7.694068765141443e-231,0.10168058543405954,0.11464707810129732,Coq3
ENSMUSG00000038210,0.1080935950539941,1.3495529322509448e-230,1.6035533849211245e-230,0.10160564525036286,0.11457235024830581,Hoxa11
ENSMUSG00000049799,0.10799459889276622,3.5627087079521696e-230,4.233044144291602e-230,0.10150651287517774,0.1144734985229778,Lrrc19
ENSMUSG00000035694,0.107964737957757,4.77385947546543e-230,5.671253585020914e-230,0.10147661087825209,0.11444368113003694,Caps2
ENSMUSG00000040188,0.10794681878311672,5.690061658521215e-230,6.759030134017749e-230,0.10145866706849618,0.1144257880788444,Scamp2
ENSMUSG00000087041,0.1079384527435567,6.176047030116176e-230,7.335960652317966e-230,0.1014502895288279,0.11441743423426591,Gm16295
ENSMUSG00000105376,0.10792891874597932,6.780627304068057e-230,8.053696558922111e-230,0.10144074242676801,0.1144079141330582,Gm42487
ENSMUSG00000027208,0.10791999858925269,7.399705378266558e-230,8.78858196822758e-230,0.10143181001036546,0.11439900697691412,Fgf7
ENSMUSG00000040631,0.1078610345926248,1.3181177675090627e-229,1.5653684544782097e-229,0.10137276500117232,0.11434012889050178,Dok4
ENSMUSG00000110093,0.10784641252759379,1.5209382188838437e-229,1.806146319227866e-229,0.1013581228534806,0.11432552812269514,Gm45282
ENSMUSG00000106756,0.1077998350206954,2.3991169295710273e-229,2.8487265490558527e-229,0.10131148139349,0.11427901843787112,Gm32780
ENSMUSG00000044627,0.1077615930228139,3.4874030872221505e-229,4.14076412600243e-229,0.10127318690888217,0.11424083210339546,Swi5
