,timepoint,weight,marginal,celltype
333,13.0,100,source_marginals,White_blood_cells
334,13.0,10,source_marginals,Neuroectoderm_and_glia
335,13.0,1/2,target_marginals,Mesoderm
336,13.0,1,target_marginals,CNS_neurons
337,13.0,3/16,target_marginals,Epithelial_cells
338,13.0,6,target_marginals,Neuroectoderm_and_glia
339,13.0,3/4,target_marginals,Hepatocytes
340,13.0,1,target_marginals,Definitive_erythroid
341,13.0,500,target_marginals,Mast_cells
342,13.0,200,target_marginals,Cardiocytes
343,13.0,20,target_marginals,Epithelial_cells
344,13.0,100,target_marginals,Ependymal_cells
345,13.0,40,target_marginals,Endothelium
346,13.0,80,target_marginals,Extraembryonic_visceral_endoderm
347,13.0,1000,target_marginals,Glands
348,13.0,1000,target_marginals,Gut
349,13.0,300,target_marginals,Intestine
350,13.0,50,target_marginals,Eye_and_other
351,13.0,30,target_marginals,Intermediate_mesoderm_and_kidney
352,13.0,18,target_marginals,Intermediate_neuronal_progenitors
353,13.0,50,target_marginals,Lung_and_airways
354,13.0,1000,target_marginals,B_cells
355,13.0,70,target_marginals,Primordial_germ_cells
356,13.0,3/4,target_marginals,Muscle_cells
357,13.0,20,target_marginals,Olfactory_sensory_neurons
358,13.0,13,target_marginals,Primitive_erythroid
359,13.0,200,target_marginals,Olidendrocytes
360,13.0,100,target_marginals,Cardiocytes
361,13.0,150,target_marginals,Primordial_germ_cells
362,13.0,1000,target_marginals,T_cells
363,13.0,300,target_marginals,Testis_and_adrenal
364,13.0,40,target_marginals,Megakaryocytes
365,13.0,30,target_marginals,Neural_crest_PNS_glia
366,13.0,8,target_marginals,Neural_crest_PNS_neurons
367,13.0,50,target_marginals,White_blood_cells
368,13.25,20,source_marginals,Gut
369,13.25,100,source_marginals,White_blood_cells
370,13.25,6,target_marginals,Mesoderm
371,13.25,175,target_marginals,White_blood_cells
372,13.25,1000,target_marginals,B_cells
373,13.25,300,target_marginals,Cardiocytes
374,13.25,40,target_marginals,Epithelial_cells
375,13.25,300,target_marginals,Ependymal_cells
376,13.25,10,target_marginals,CNS_neurons
377,13.25,250,target_marginals,Endothelium
378,13.25,120,target_marginals,Eye_and_other
379,13.25,1000,target_marginals,Glands
380,13.25,1000,target_marginals,Gut
381,13.25,1000,target_marginals,Intestine
382,13.25,20,target_marginals,Neural_crest_PNS_neurons
383,13.25,12,target_marginals,Neuroectoderm_and_glia
384,13.25,100,target_marginals,Lung_and_airways
385,13.25,80,target_marginals,Intermediate_mesoderm_and_kidney
386,13.25,100,target_marginals,Neural_crest_PNS_glia
387,13.25,80,target_marginals,Olidendrocytes
388,13.25,40,target_marginals,Olfactory_sensory_neurons
389,13.25,20,target_marginals,Definitive_erythroid
390,13.25,40,target_marginals,Primitive_erythroid
391,13.25,30,target_marginals,Intermediate_neuronal_progenitors
392,13.25,200,target_marginals,Megakaryocytes
393,13.25,25,target_marginals,Hepatocytes
394,13.25,7,target_marginals,Muscle_cells
395,13.25,1000,target_marginals,Mast_cells
396,13.25,1000,target_marginals,Primordial_germ_cells
397,13.25,1000,target_marginals,T_cells
398,13.25,1000,target_marginals,Testis_and_adrenal
399,13.5,100,target_marginals,Mesoderm
400,13.5,130,target_marginals,CNS_neurons
401,13.5,175,target_marginals,White_blood_cells
402,13.5,1/4,target_marginals,Definitive_erythroid
403,13.5,1000,target_marginals,B_cells
404,13.5,600,target_marginals,Eye_and_other
405,13.5,1000,target_marginals,Cardiocytes
406,13.5,250,target_marginals,Epithelial_cells
407,13.5,700,target_marginals,Ependymal_cells
408,13.5,400,target_marginals,Endothelium
409,13.5,1000,target_marginals,Glands
410,13.5,1000,target_marginals,Gut
411,13.5,1000,target_marginals,Intestine
412,13.5,1000,target_marginals,Intermediate_mesoderm_and_kidney
413,13.5,1000,target_marginals,Lung_and_airways
414,13.5,1000,target_marginals,Mast_cells
415,13.5,500,target_marginals,Megakaryocytes
416,13.5,700,target_marginals,Neural_crest_PNS_glia
417,13.5,300,target_marginals,Neural_crest_PNS_neurons
418,13.5,125,target_marginals,Neuroectoderm_and_glia
419,13.5,150,target_marginals,Muscle_cells
420,13.5,1000,target_marginals,Notochord
421,13.5,500,target_marginals,Primitive_erythroid
422,13.5,1000,target_marginals,Olidendrocytes
423,13.5,500,target_marginals,Olfactory_sensory_neurons
424,13.5,50,target_marginals,Definitive_erythroid
425,13.5,100,target_marginals,Hepatocytes
426,13.5,300,target_marginals,Intermediate_neuronal_progenitors
427,13.5,1000,target_marginals,Primordial_germ_cells
428,13.5,1000,target_marginals,T_cells
429,13.5,1000,target_marginals,Testis_and_adrenal
430,13.75,100,source_marginals,White_blood_cells
431,13.75,20,target_marginals,Mesoderm
432,13.75,17,target_marginals,CNS_neurons
433,13.75,70,target_marginals,Epithelial_cells
434,13.75,30,target_marginals,Neuroectoderm_and_glia
435,13.75,300,target_marginals,White_blood_cells
436,13.75,20,target_marginals,Definitive_erythroid
