,Forebrain/Midbrain/Hindbrain_corr,Forebrain/Midbrain/Hindbrain_pval,Forebrain/Midbrain/Hindbrain_qval,Forebrain/Midbrain/Hindbrain_ci_low,Forebrain/Midbrain/Hindbrain_ci_high,gene_annotation
ENSMUSG00000005087,0.09061723676628163,2.654788117378725e-162,4.301482073377051e-162,0.08410723648731518,0.09711950191879837,Cd44
ENSMUSG00000025932,0.09059757902805693,3.11843333227385e-162,5.052380571069523e-162,0.08408755620668285,0.09709986837319878,Eya1
ENSMUSG00000100775,0.09058899990476428,3.345342494013817e-162,5.419653507952968e-162,0.08407896724691771,0.09709129980658,Gm29107
ENSMUSG00000085187,0.09058225771093481,3.5351774350151745e-162,5.72681950280368e-162,0.0840722173234429,0.09708456590839289,Gm13860
ENSMUSG00000070717,0.09057173760193032,3.853096581794957e-162,6.241421605609935e-162,0.08406168515476355,0.09707405874221484,Gm10300
ENSMUSG00000029913,0.09056543487920538,4.0570818406040064e-162,6.571412676508086e-162,0.08405537520764036,0.0970677637729972,Prdm5
ENSMUSG00000058665,0.09056465452628447,4.0830765957213675e-162,6.613081112088595e-162,0.08405459396028835,0.09706698438001761,En1
ENSMUSG00000027938,0.0905623068481205,4.162288551466924e-162,6.740930640871762e-162,0.0840522435912922,0.09706463958977227,Creb3l4
ENSMUSG00000025825,0.09056214269549748,4.1678842108995684e-162,6.749547730756956e-162,0.0840520792505255,0.09706447563907349,Iscu
ENSMUSG00000074261,0.09055500692621705,4.4185302866915004e-162,7.154976625699098e-162,0.08404493530291905,0.09705734864716517,Erich4
ENSMUSG00000094763,0.09054234487803789,4.90090968092458e-162,7.934529145140804e-162,0.08403225874437684,0.09704470217233081,Gm1647
ENSMUSG00000031504,0.09051520251079309,6.119481877238117e-162,9.905427152554736e-162,0.08400508527981654,0.09701759318103449,Rab20
ENSMUSG00000039296,0.09051221409643004,6.27091352199462e-162,1.0149875983387956e-161,0.08400209344218525,0.09701460844082262,Spdye4a
ENSMUSG00000044221,0.09050424525921671,6.693262700920196e-162,1.0832761096439858e-161,0.08399411547713712,0.09700664940044479,Grsf1
ENSMUSG00000020988,0.0904803097587365,8.140418785168699e-162,1.3171448663072486e-161,0.08397015256496572,0.09698274332110941,L2hgdh
ENSMUSG00000017679,0.09047411384605787,8.563440834004822e-162,1.3854998310147373e-161,0.08396394955775902,0.0969765550231278,Ttpal
ENSMUSG00000001768,0.09046223820020317,9.436570171935977e-162,1.526664937146627e-161,0.08395206031530131,0.09696469397088386,Rin2
ENSMUSG00000042759,0.09045201295232266,1.0259249562900608e-161,1.6595407515373283e-161,0.08394182336186796,0.09695448128701176,Apobr
ENSMUSG00000060733,0.09042136339964875,1.317958745178345e-161,2.131795448423396e-161,0.08391113873075079,0.09692386938597819,Ipmk
ENSMUSG00000021966,0.09041461162642685,1.3927116956127527e-161,2.2525597859475827e-161,0.08390437923177722,0.09691712590536203,Prss52
ENSMUSG00000015134,0.09041325499253487,1.4082351057017838e-161,2.2775171803695536e-161,0.08390302104562214,0.09691577093763143,Aldh1a3
ENSMUSG00000048440,0.09039183704699355,1.677512873612186e-161,2.712837312141114e-161,0.08388157859683176,0.09689437929352665,Cyp4f16
ENSMUSG00000103906,0.09039080780504763,1.6916758194684362e-161,2.735561135453405e-161,0.08388054817753109,0.09689335131534813,Tigd5
ENSMUSG00000059436,0.09038695670268761,1.7457365965858627e-161,2.8227953714025356e-161,0.08387669267000028,0.09688950494148853,Max
ENSMUSG00000031917,0.09036468829699254,2.093934211456904e-161,3.3855958353434248e-161,0.08385439879590645,0.0968672638738096,Nip7
ENSMUSG00000022176,0.09035665465682075,2.235902520124308e-161,3.614900478999869e-161,0.08384635596925173,0.09685924009461713,Rem2
ENSMUSG00000046897,0.09035374142649513,2.2897257340762517e-161,3.701675526637264e-161,0.08384343940785124,0.09685633043995907,Zfp740
ENSMUSG00000038486,0.0903536178246858,2.2920377265837554e-161,3.7051692298580694e-161,0.08384331566471437,0.09685620698985481,Sv2a
