,Cardiac_2_corr,Cardiac_2_pval,Cardiac_2_qval,Cardiac_2_ci_low,Cardiac_2_ci_high,gene_annotation
ENSMUSG00000011154,0.3987203393628604,0.0,0.0,0.39051348656796353,0.40686382301169516,Cfap161
ENSMUSG00000062438,0.3987192048670722,0.0,0.0,0.3905123433348765,0.4068626973653518,Adam1b
ENSMUSG00000086368,0.3987030726970351,0.0,0.0,0.39049608692596227,0.40684669102893534,Gm13830
ENSMUSG00000047564,0.3986916356150603,0.0,0.0,0.3904845617665496,0.4068353431550808,Krtap3-1
ENSMUSG00000054630,0.39866719730894234,0.0,0.0,0.3904599352686541,0.40681109545693617,Ugt2b5
ENSMUSG00000037020,0.3986430053829444,0.0,0.0,0.3904355570597436,0.40678709220595305,Wdr62
ENSMUSG00000030196,0.3986422226567546,0.0,0.0,0.3904347683065899,0.40678631558412764,Tas2r103
ENSMUSG00000009907,0.398623447931881,0.0,0.0,0.3904158490206119,0.40676768727699575,Vps4b
ENSMUSG00000053175,0.39860001231799697,0.0,0.0,0.39039223296756725,0.4067444344200497,Bcl3
ENSMUSG00000052525,0.39857921183513273,0.0,0.0,0.39037127234340513,0.4067237961358547,Spdya
ENSMUSG00000022483,0.39856605274662454,0.0,0.0,0.3903580119484935,0.40671073965541366,Col2a1
ENSMUSG00000074629,0.3985631202336425,0.0,0.0,0.3903550568597656,0.40670783000826477,4930518I15Rik
ENSMUSG00000050276,0.3985576481478045,0.0,0.0,0.3903495426479103,0.40670240058975926,Mrgprg
ENSMUSG00000029366,0.3985432485443509,0.0,0.0,0.3903350321941218,0.40668811326115717,Dck
ENSMUSG00000025133,0.3985430642965433,0.0,0.0,0.390334846527973,0.4066879304499185,Ints4
ENSMUSG00000072780,0.39853619667416207,0.0,0.0,0.3903279260390525,0.4066811163735068,Vmn2r24
ENSMUSG00000051493,0.39852207298222514,0.0,0.0,0.39031369362670953,0.40666710279933316,Olfr974
ENSMUSG00000047828,0.3984645482207952,0.0,0.0,0.390255726095568,0.40661002649988,A730018C14Rik
ENSMUSG00000023945,0.3984635869102954,0.0,0.0,0.39025475738638704,0.4066090726831989,Slc5a7
ENSMUSG00000104301,0.3984360550878792,0.0,0.0,0.3902270136743047,0.4065817554753546,Wdr49
ENSMUSG00000036731,0.39842737014050006,0.0,0.0,0.3902182618891617,0.4065731382253852,Cysrt1
ENSMUSG00000062204,0.3984222220065534,0.0,0.0,0.3902130741368196,0.4065680302194182,Olfr1373
ENSMUSG00000053453,0.39842202003682164,0.0,0.0,0.3902128706128039,0.40656782982396245,Thoc7
ENSMUSG00000013150,0.39839047154876056,0.0,0.0,0.39018107934915947,0.40653652723455264,Gfod2
ENSMUSG00000047369,0.39838985161072754,0.0,0.0,0.3901804546407035,0.40653591212831636,Dnah14
ENSMUSG00000105151,0.39837949817385526,0.0,0.0,0.39017002153525554,0.40652563938503467,Gm43241
ENSMUSG00000051590,0.39836038563842247,0.0,0.0,0.3901507619364698,0.4065066758052685,Map3k19
ENSMUSG00000079043,0.3982516779177653,0.0,0.0,0.3900412178898033,0.4063988151768045,Fastkd5
ENSMUSG00000031471,0.39824819263069644,0.0,0.0,0.39003770579306335,0.40639535704467056,Defb8
ENSMUSG00000030976,0.3982274438391148,0.0,0.0,0.39001679740170264,0.40637476990842375,Tex36
ENSMUSG00000034854,0.3982266544299454,0.0,0.0,0.3900160019205623,0.4063739866494349,Mfsd12
ENSMUSG00000020929,0.39820408450387085,0.0,0.0,0.3899932583965,0.40635159255755005,Eftud2
ENSMUSG00000026941,0.3981973187215878,0.0,0.0,0.38998644057673415,0.40634487948314046,Mamdc4
ENSMUSG00000041488,0.3981877701762142,0.0,0.0,0.3899768185924171,0.4063354053228674,Stx3
ENSMUSG00000024960,0.39817429174983754,0.0,0.0,0.38996323650498926,0.4063220318931776,Plcb3
ENSMUSG00000111658,0.39817313849388386,0.0,0.0,0.3899620743796406,0.4063208876209039,RP23-122B15.2
ENSMUSG00000090053,0.39815531952246647,0.0,0.0,0.38994411837041953,0.40630320745318443,Palm2
