,Gut_corr,Gut_pval,Gut_qval,Gut_ci_low,Gut_ci_high,gene_annotation
ENSMUSG00000049657,-0.19740002549622496,0.0,0.0,-0.2036962480496263,-0.19108747529173337,Zbtb5
ENSMUSG00000036880,-0.19748871950912508,0.0,0.0,-0.20378470894207792,-0.1911763956841819,Acaa2
ENSMUSG00000026203,-0.19750601340435056,0.0,0.0,-0.2038019573706167,-0.19119373373182127,Dnajb2
ENSMUSG00000024677,-0.19761991020224737,0.0,0.0,-0.20391555462937117,-0.19130792141388217,Ms4a6b
ENSMUSG00000030397,-0.19763018988088907,0.0,0.0,-0.2039258072649687,-0.1913182273544839,Mark4
ENSMUSG00000035504,-0.19767206021595496,0.0,0.0,-0.20396756743628072,-0.19136020467196807,Reep6
ENSMUSG00000006344,-0.19771206141104866,0.0,0.0,-0.2040074633640579,-0.19140030809522832,Ggt5
ENSMUSG00000022306,-0.19775824817698234,0.0,0.0,-0.20405352855868913,-0.19144661292355977,Zfpm2
ENSMUSG00000027971,-0.19788815542839852,0.0,0.0,-0.20418309372298835,-0.19157685239393707,Ndst4
ENSMUSG00000029433,-0.19804258313216885,0.0,0.0,-0.20433711448257766,-0.19173167531332685,Diablo
ENSMUSG00000037103,-0.19810381014652828,0.0,0.0,-0.20439818006670024,-0.19179305910849465,Dcaf15
ENSMUSG00000002699,-0.198185259620039,0.0,0.0,-0.20447941471580508,-0.1918747172219335,Lcp2
ENSMUSG00000038760,-0.19819507278079548,0.0,0.0,-0.20448920198832718,-0.1918845555258546,Trhr
ENSMUSG00000076434,-0.198246167759885,0.0,0.0,-0.20454016215271442,-0.1919357814403904,Wfdc3
ENSMUSG00000027834,-0.19834289240865155,0.0,0.0,-0.204636631498935,-0.19203275404886264,Serpini1
ENSMUSG00000069763,-0.19838918948664572,0.0,0.0,-0.20468280633356178,-0.19207916985592596,Tmem100
ENSMUSG00000020287,-0.1984635967565442,0.0,0.0,-0.20475701707891542,-0.1921537680027552,Mpg
ENSMUSG00000025610,-0.1984755503666134,0.0,0.0,-0.2047689391103541,-0.19216575228421234,Map3k7cl
ENSMUSG00000020526,-0.19849397151161033,0.0,0.0,-0.204787311587356,-0.1921842206991242,Znhit3
ENSMUSG00000054252,-0.19849903154088824,0.0,0.0,-0.20479235824744427,-0.19218929371356494,Fgfr3
ENSMUSG00000021453,-0.19854941884052443,0.0,0.0,-0.20484261239968135,-0.19223981033664003,Gadd45g
ENSMUSG00000040033,-0.19855189450962973,0.0,0.0,-0.20484508152602704,-0.19224229236062984,Stat2
ENSMUSG00000012296,-0.19856736510732234,0.0,0.0,-0.20486051123582671,-0.192257802672187,Tjap1
ENSMUSG00000079555,-0.19859558910646447,0.0,0.0,-0.20488866063251696,-0.19228609913198927,Haus3
ENSMUSG00000032220,-0.19859693647529097,0.0,0.0,-0.20489000443968075,-0.1922874499602348,Myo1e
