,Somitic mesoderm_corr,Somitic mesoderm_pval,Somitic mesoderm_qval,Somitic mesoderm_ci_low,Somitic mesoderm_ci_high,gene_annotation
ENSMUSG00000001436,-0.04320134210018234,3.688157972934528e-38,3.907360920579011e-38,-0.049747241427280944,-0.03665173149632218,Slc19a1
ENSMUSG00000040533,-0.04328988930973403,2.6128196341534215e-38,2.7684039353183106e-38,-0.0498357346097443,-0.03674032515471329,Matn1
ENSMUSG00000096976,-0.0433127079565777,2.390464638165798e-38,2.533076865704989e-38,-0.049858539317132945,-0.036763155788122975,Gm26882
ENSMUSG00000033220,-0.04354669247358123,9.577001743886749e-39,1.0150505292937731e-38,-0.05009238050385071,-0.0369972636109807,Rac2
ENSMUSG00000022876,-0.04362093145737961,7.157217307099152e-39,7.586619999045105e-39,-0.05016657386161324,-0.037071541867688046,Samsn1
ENSMUSG00000024747,-0.04375448058138428,4.2332087617501815e-39,4.488610711218515e-39,-0.05030004072668808,-0.037205161822242545,Aldh1a7
ENSMUSG00000039005,-0.04387241303124751,2.658821646200849e-39,2.8198341777503966e-39,-0.05041790034225597,-0.03732315701474292,Tlr4
ENSMUSG00000022912,-0.04401219992180736,1.5296050027829142e-39,1.6227509047134673e-39,-0.050557600665248566,-0.03746301851150241,Pros1
ENSMUSG00000051747,-0.04412431607885482,9.805062574890373e-40,1.0404353326496576e-39,-0.05066964720562647,-0.03757519469191842,Ttn
ENSMUSG00000051910,-0.04414171149294496,9.150432664924968e-40,9.710742507614313e-40,-0.05068703180355692,-0.03759259943374257,Sox6
ENSMUSG00000032589,-0.04418484252775781,7.70878235953622e-40,8.181683676009573e-40,-0.05073013600314824,-0.03763575361333175,Bsn
ENSMUSG00000039167,-0.04419426840122643,7.425138350158044e-40,7.881475798915236e-40,-0.05073955600879007,-0.03764518454812145,Adgrl4
ENSMUSG00000090113,-0.044215296345885356,6.829213834325751e-40,7.250465903307943e-40,-0.050760570858864346,-0.03766622378815898,Nhlrc4
ENSMUSG00000019787,-0.0442618965884183,5.672698381833829e-40,6.02325162649589e-40,-0.05080714206169986,-0.03771284908318649,Trdn
ENSMUSG00000052291,-0.04427949005951517,5.288654125695019e-40,5.616071069018816e-40,-0.05082472456173765,-0.03773045202002544,5330438D12Rik
ENSMUSG00000032125,-0.04435425901702344,3.924889643805392e-40,4.1683195027669835e-40,-0.05089944684903844,-0.03780526125050481,Robo4
ENSMUSG00000084756,-0.044773440404388076,7.30603435580969e-41,7.75999400510854e-41,-0.05131836522957671,-0.0382246697818892,Gm13881
