,Mesenchyme_corr,Mesenchyme_pval,Mesenchyme_qval,Mesenchyme_ci_low,Mesenchyme_ci_high,gene_annotation
ENSMUSG00000035595,-0.026530489192310075,2.219937206619847e-15,2.371727784850264e-15,-0.03308472885823766,-0.019973967730185872,1600002K03Rik
ENSMUSG00000038172,-0.02663476313044238,1.7263476246823566e-15,1.844979827596833e-15,-0.0331889619531762,-0.02007827355597671,Ttc39b
ENSMUSG00000051251,-0.026641053312268893,1.7003050239956374e-15,1.817536102614257e-15,-0.033195249666633564,-0.0200845656659468,Nhlh1
ENSMUSG00000025582,-0.026744143092163584,1.3247082610674873e-15,1.4164972851448752e-15,-0.03329829891850201,-0.02018768712018952,Nptx1
ENSMUSG00000078349,-0.02675257804012127,1.2978731371389997e-15,1.387951167938188e-15,-0.03330673054423318,-0.020196124665960047,AW011738
ENSMUSG00000026934,-0.02679133581462775,1.1812931526095972e-15,1.2635502755477562e-15,-0.03334547304143644,-0.020234894389171244,Lhx3
ENSMUSG00000000305,-0.02685368357733439,1.0150418898263178e-15,1.0859547339534801e-15,-0.03340779618695344,-0.02029726141455524,Cdh4
ENSMUSG00000028970,-0.026871075086658702,9.729316639789301e-16,1.041013978149936e-15,-0.03342518082037815,-0.020314658306181833,Abcb1b
ENSMUSG00000021250,-0.02690966697776846,8.855387745940437e-16,9.477084488378036e-16,-0.033463757439649744,-0.02035326215484097,Fos
ENSMUSG00000026110,-0.026921343621515645,8.606547488186896e-16,9.211760128638442e-16,-0.03347542945879001,-0.0203649424204038,Mgat4a
ENSMUSG00000078926,-0.026979030139812118,7.474769475840412e-16,8.002108420769095e-16,-0.033533093103750744,-0.020422646857940104,Cdc20b
ENSMUSG00000021541,-0.027048111326236343,6.311083985513804e-16,6.757049235025485e-16,-0.03360214684131398,-0.02049174956062074,Trpc7
ENSMUSG00000020660,-0.027303281864179102,3.365487598603311e-16,3.6048496128998616e-16,-0.03385721544681128,-0.020747000117866284,Pomc
ENSMUSG00000020542,-0.027344715361699558,3.037209342358807e-16,3.253571871835894e-16,-0.03389863231240703,-0.02078844668923573,Myocd
ENSMUSG00000019865,-0.02734910710392445,3.004320949454778e-16,3.2186853968874843e-16,-0.03390302229041215,-0.02079283981854369,Nmbr
ENSMUSG00000026807,-0.027504821812899594,2.039937654138427e-16,2.18689714208665e-16,-0.03405867428331895,-0.020948603871910547,Ak8
ENSMUSG00000020848,-0.02753331074212176,1.900010413088264e-16,2.0375446789150286e-16,-0.03408715170385934,-0.020977101863424188,Doc2b
ENSMUSG00000050914,-0.027542152794897738,1.8585378486989326e-16,1.9932838360134411e-16,-0.034095990182544375,-0.020985946731012117,Ankrd37
ENSMUSG00000048012,-0.02775460687413234,1.0913764000023712e-16,1.1708790902289144e-16,-0.03430835807640017,-0.021198468752242537,Zfp473
ENSMUSG00000029254,-0.028050193989637977,5.169276499142144e-17,5.5494111638670365e-17,-0.034603824297750746,-0.021494151380982714,Stap1
ENSMUSG00000058400,-0.0283247394900188,2.56439104562708e-17,2.7544479544866593e-17,-0.034878256483719304,-0.0217687866227506,Qrfpr
ENSMUSG00000031604,-0.02835405080343928,2.3785362410118012e-17,2.5550931797312293e-17,-0.0349075556409569,-0.021798107575690975,Msmo1
