,Neural Crest/Mid-HindBrain_corr,Neural Crest/Mid-HindBrain_pval,Neural Crest/Mid-HindBrain_qval,Neural Crest/Mid-HindBrain_ci_low,Neural Crest/Mid-HindBrain_ci_high,gene_annotation
ENSMUSG00000025935,0.017012477373055817,0.005224492893780298,0.005563969355777474,0.005073946990371163,0.028946158795994836,Tram1
ENSMUSG00000041225,0.01697279620077051,0.005330683255353162,0.005676813501862105,0.005034255370755832,0.02890649937459036,Arhgap12
ENSMUSG00000085981,0.0169696831642779,0.005339095910244172,0.005685525797550091,0.005031141516248733,0.028903388042891557,Gm11375
ENSMUSG00000022829,0.016946664444323363,0.005401674592273104,0.0057516659983298316,0.00500811675483641,0.028880381921514216,Stxbp5l
ENSMUSG00000060149,0.016919635567203422,0.005476000056695429,0.005830301534778238,0.004981080799917519,0.028853367821666795,BC002059
ENSMUSG00000038056,0.01691269234885008,0.005495241311563899,0.00585053400466228,0.004974135766226163,0.028846428396507157,Kmt2c
ENSMUSG00000048502,0.016891094217204704,0.0055554854409648816,0.00591416028038719,0.004952531995008252,0.02882484205691971,Duxbl1
ENSMUSG00000097971,0.016884463571992837,0.005574099637341767,0.005933718968783171,0.004945899620678529,0.02881821502964677,Gm26917
ENSMUSG00000032633,0.016822093698410687,0.005751964011653802,0.006121465991076036,0.0048835135338921075,0.028755879136158763,Flcn
ENSMUSG00000010517,0.016801113711787177,0.005812934474264481,0.006186085007678104,0.0048625281143568014,0.028734910558901084,Faf1
ENSMUSG00000111399,0.01679348568098939,0.005835246508921754,0.006209560171942047,0.0048548981108346686,0.028727286673786184,RP23-217J11.6
ENSMUSG00000005397,0.016792605592415792,0.005837825734180698,0.006212035601161725,0.004854017794746272,0.028726407063433868,Nid1
ENSMUSG00000110573,0.016779187838130934,0.005877275850201581,0.006253743463385162,0.004840596574082087,0.028712996597780507,RP23-383B20.1
ENSMUSG00000045251,0.01676279476883477,0.005925799834658906,0.0063051023852890775,0.004824199275593018,0.028696612427500354,Zfp688
ENSMUSG00000107204,0.016720784772781952,0.006051802950060573,0.006438612732586003,0.004782178470829635,0.02865462520740003,Gm43067
ENSMUSG00000029647,0.01671995242186875,0.006054323670776185,0.0064410154590907745,0.004781345906187646,0.02865379330732505,Pan3
ENSMUSG00000070871,0.01668404809456743,0.00616396196214951,0.00655708813235246,0.0047454323752269345,0.028617908411665227,Ccnyl1
ENSMUSG00000030126,0.01664631303710918,0.006281114424079128,0.006680843969154388,0.004707687678015361,0.028580193743497878,Tmcc1
ENSMUSG00000023030,0.016606949148337758,0.006405455922619108,0.006812508287292369,0.0046683137696432835,0.028540851087911004,Slc11a2
ENSMUSG00000086437,0.01657886299722757,0.006495522764411496,0.006907700217084552,0.004640220492172516,0.028512780064085096,Gm13021
ENSMUSG00000037280,0.01654887839984123,0.006592933273054122,0.007010988293486868,0.00461022830752755,0.02848281159571764,Galnt6
ENSMUSG00000030693,0.016543429836815622,0.0066107743082963934,0.007029656148698214,0.004604778368111623,0.028477365961225957,Klk10
ENSMUSG00000047361,0.016528546942023534,0.006659729006521054,0.007081099413975354,0.0045898917172871945,0.028462491062192022,Gm973
ENSMUSG00000090639,0.016503989141577198,0.006741220529224471,0.007167126247500074,0.00456532773069864,0.028437946443740897,Gm20425
ENSMUSG00000038880,0.016494484423300402,0.0067730003605581835,0.007200290316190713,0.004555820622038039,0.028428446823489596,Mrps34
ENSMUSG00000028550,0.01647473599936308,0.006839461731314047,0.007270629737929619,0.004536067238382502,0.028408708985079863,Atg4c
ENSMUSG00000005886,0.016457711699289165,0.006897224985456723,0.007331082204551429,0.004519038670218367,0.02839169380288274,Ncoa2
ENSMUSG00000056643,0.016454411303081357,0.006908473773562875,0.007342720696472542,0.0045157374473834555,0.028388395173501235,Chst13
ENSMUSG00000050310,0.016451224988016076,0.006919349369443413,0.007353961547923236,0.004512550334511057,0.028385210563943733,Rictor
ENSMUSG00000044628,0.016432800519540502,0.006982538243635186,0.007420798154174144,0.00449412125757165,0.0283667959526032,Rnf208
ENSMUSG00000035181,0.016432586141317613,0.006983276519020469,0.007421261528588951,0.004493906825774631,0.02836658168902551,Heatr5a
ENSMUSG00000031963,0.01642888839638344,0.006996021844885981,0.00743448443280993,0.0044902081569293,0.0283628859213989,Bmper
ENSMUSG00000058057,0.01642737350587296,0.007001249373668248,0.0074397175772474705,0.004488692888005629,0.028361371840856697,Mettl7a3
ENSMUSG00000042213,0.016412463318223103,0.0070528883743073405,0.007494266223751139,0.004473778978779785,0.0283464696223324,Zfand4
ENSMUSG00000054690,0.016374189348634893,0.00718701311980683,0.007635793245813202,0.004435495480340962,0.028308216084945752,Emcn
ENSMUSG00000001376,0.0163713115693251,0.007197189756844447,0.007646274466033962,0.004432616985981546,0.028305339840498676,Vps50
ENSMUSG00000046186,0.016355641833668635,0.007252829612390323,0.007704831057634701,0.004416943360294984,0.028289678458823412,Cd109
ENSMUSG00000070990,0.01635561230998496,0.007252934807920056,0.007704831057634701,0.004416913829287556,0.028289648950874123,Foxe1
ENSMUSG00000038508,0.016343740590066904,0.007295345937653676,0.007749549321216331,0.0044050391661151446,0.028277783556197863,Gdf15
