,Cardiac_1_corr,Cardiac_1_pval,Cardiac_1_qval,Cardiac_1_ci_low,Cardiac_1_ci_high,gene_annotation
ENSMUSG00000073116,-0.015610054678784539,0.0016456860374874933,0.002133872912193976,-0.02532658116568366,-0.005890579060421522,Gm10471
ENSMUSG00000038497,-0.015610916947140433,0.0016447073530955617,0.002132716538143141,-0.025327443090971225,-0.005891441509020996,Tmco3
ENSMUSG00000020287,-0.015619819034167301,0.001634634641998974,0.0021199910057767054,-0.02533634163530492,-0.005900345457733772,Mpg
ENSMUSG00000036292,-0.015619918062871992,0.0016345229109729737,0.0021199580829481487,-0.02533644062459128,-0.005900444507156919,Gramd1c
ENSMUSG00000032705,-0.015623809898224072,0.0016301374347946847,0.002114493570323283,-0.025340330910649203,-0.005904337156896891,Exd2
ENSMUSG00000100580,-0.01562410660988056,0.0016298035328310995,0.002114172152906914,-0.025340627504176177,-0.005904633930654001,4933436I20Rik
ENSMUSG00000047749,-0.01562470667542882,0.0016291284464694503,0.0021134080956207303,-0.02534122733081571,-0.005905234121798942,Zc3hav1l
ENSMUSG00000104417,-0.01562559196033065,0.0016281329521998457,0.0021122282822938236,-0.02534211226323946,-0.005906119592008056,Gm37068
ENSMUSG00000022683,-0.015627659605995402,0.001625810084934518,0.0021094376792956874,-0.025344179085607342,-0.00590818767053048,Pla2g10
ENSMUSG00000071636,-0.01562861428439476,0.001624738594528686,0.0021081588612656323,-0.02534513338384403,-0.005909142548817995,Rimbp3
ENSMUSG00000047187,-0.01562867973293277,0.001624665161684002,0.0021081588612656323,-0.02534519880631911,-0.0059092080110601025,Rab2a
ENSMUSG00000021905,-0.01562882603458246,0.001624501023205587,0.002108073420810971,-0.025345345049708246,-0.005909354343343817,Dph3
ENSMUSG00000108289,-0.015635367883431766,0.0016171771830979472,0.0020986803847677362,-0.0253518842930233,-0.005915897562412753,Gm44174
ENSMUSG00000039335,-0.015636102943087433,0.0016163561587067888,0.0020977257854196576,-0.025352619059862202,-0.0059166327760819815,Spata16
ENSMUSG00000039835,-0.015641867601556936,0.0016099306166964043,0.0020894970926219865,-0.02535838142157084,-0.005922398642757344,Nhsl1
