,Extra-Embryonic endoderm_corr,Extra-Embryonic endoderm_pval,Extra-Embryonic endoderm_qval,Extra-Embryonic endoderm_ci_low,Extra-Embryonic endoderm_ci_high,gene_annotation
ENSMUSG00000021779,0.014706400149601265,0.003022490148467523,0.0034503312197117844,0.004986743584475096,0.02442327823017698,Thrb
ENSMUSG00000037419,0.014699689361905533,0.0030358153010620562,0.003464751541956239,0.004980031512423534,0.024416569994160073,Endod1
ENSMUSG00000049670,0.014654490632766273,0.0031269680317007886,0.0035671549528870504,0.004934824155660486,0.024371388428381765,Morn4
ENSMUSG00000103115,0.014650496555814595,0.0031351417242406867,0.0035760713177149382,0.004930829318221907,0.02436739586619627,Gm37584
ENSMUSG00000078772,0.01464289685918688,0.0031507479572035996,0.0035934625424311126,0.00492322817544082,0.024359799050921272,Gm12353
ENSMUSG00000019254,0.014621295777424295,0.0031954939665162995,0.0036432493062550446,0.00490162298932154,0.024338206152875352,Ppp1r12c
ENSMUSG00000026198,0.014610641671566187,0.0032177762104842198,0.003668235534067738,0.004890966862450281,0.024327556080059,Abcb6
ENSMUSG00000029752,0.014594560654108588,0.0032516766307371776,0.0037064591710215177,0.004874882798710872,0.024311481145788003,Asns
ENSMUSG00000042010,0.01459234460786263,0.00325637370517061,0.0037113901358224416,0.004872666333066003,0.024309265937442266,Acacb
ENSMUSG00000020009,0.01458432696266139,0.0032734193828454893,0.003729967391574167,0.00486464717127924,0.02430125132296305,Ifngr1
ENSMUSG00000041754,0.014580959957465122,0.003280601907904308,0.0037377257695161304,0.004861279529566535,0.024297885590144234,Trem3
ENSMUSG00000042367,0.01456232657644842,0.003320611001320554,0.003782017085786508,0.004842642629983223,0.024279259246623067,Gjb3
ENSMUSG00000079546,0.014553693829895555,0.0033392972066859645,0.003802866651504344,0.004834008255585871,0.024270629758217737,Gm11146
ENSMUSG00000074206,0.014552231640916492,0.003342471687253944,0.0038060483799293374,0.004832545791030868,0.02426916812095062,Adh6b
ENSMUSG00000034595,0.014481900836506656,0.003498447212162961,0.003982749558473316,0.004762201780606675,0.02419886380464714,Ppp1r18
ENSMUSG00000022902,0.01447703795295258,0.0035094728452696824,0.00399484672199167,0.004757337987504508,0.02419400274900799,Stfa2
ENSMUSG00000074890,0.014463609383365035,0.0035400838906659276,0.004029232746034518,0.0047439069086412855,0.02418057922471464,Lcmt2
ENSMUSG00000026970,0.014461935321707925,0.0035439169722683854,0.004033136420016371,0.004742232534413213,0.024178905791779375,Rbms1
ENSMUSG00000064128,0.014455755193779967,0.0035581002680997627,0.004048816873122169,0.004736051253040031,0.024172727984430226,Cenpj
ENSMUSG00000023075,0.014407228980014567,0.0036712742547149744,0.004175223762896594,0.004687516008263882,0.024124219966001705,Akirin1
ENSMUSG00000054000,0.014376033305698083,0.0037457477603443853,0.004258467212760783,0.004656314552433108,0.02409303596461978,Tusc1
ENSMUSG00000070691,0.014332184529118502,0.0038527502770232223,0.004377627857088084,0.0046124576813280005,0.024049203563598694,Runx3
ENSMUSG00000034990,0.014286661824048367,0.003966768712483778,0.004505131984649379,0.004566926612283013,0.024003697819698137,Otoa
ENSMUSG00000090164,0.014270729882732756,0.004007390814174244,0.0045502336938506235,0.004550991753281141,0.023987771804904988,BC035044
ENSMUSG00000020776,0.014221579269235,0.004135102416410059,0.004693646329636843,0.004501832169720028,0.023938639443864637,Fbf1
ENSMUSG00000067279,0.014212224300642978,0.004159824397213243,0.004721171714008901,0.004492475499153535,0.023929287943994546,Ppp1r3c
ENSMUSG00000091519,0.014160954186358375,0.004297710654105113,0.0048754516779411375,0.004441196087382882,0.02387803680991995,Skor2
ENSMUSG00000021798,0.014145703419692143,0.00433951858621561,0.004922321445344384,0.004425942564958386,0.023862791679235353,Ldb3
ENSMUSG00000036006,0.01411248916130239,0.0044318496165762266,0.0050259124706013,0.004392722320524662,0.023829589679668004,Fam65b
ENSMUSG00000000560,0.014090773458948607,0.004493174952738755,0.005093725147646248,0.004371002716054191,0.02380788198062458,Gabra2
