,Neural Crest/Mid-HindBrain_corr,Neural Crest/Mid-HindBrain_pval,Neural Crest/Mid-HindBrain_qval,Neural Crest/Mid-HindBrain_ci_low,Neural Crest/Mid-HindBrain_ci_high,gene_annotation
ENSMUSG00000097785,-0.05106411632254375,6.693504236288948e-25,1.3001400807238956e-24,-0.06075432960573602,-0.041364278553373185,B230217O12Rik
ENSMUSG00000028194,-0.05106530084439209,6.676855185231814e-25,1.2972324043582307e-24,-0.06075551284073302,-0.04136546413998329,Ddah1
ENSMUSG00000070031,-0.05107389682961147,6.557257344057066e-25,1.2742435569485166e-24,-0.06076409948655386,-0.04137406785291644,Sp140
ENSMUSG00000042436,-0.0510788240206999,6.489663818448208e-25,1.2613535118461045e-24,-0.06076902132368243,-0.04137899947415414,Mfap4
ENSMUSG00000062908,-0.051080406879145744,6.46809628284769e-25,1.2574059647837657e-24,-0.06077060246207049,-0.041380583755884215,Acadm
ENSMUSG00000020485,-0.051099880800016595,6.208491625996343e-25,1.2071731724667206e-24,-0.060790055217076366,-0.041400075191424565,Supt4a
ENSMUSG00000051682,-0.05110034125647976,6.202479950453208e-25,1.2062388079450036e-24,-0.06079051517298835,-0.041400536062107474,Treml4
ENSMUSG00000045555,-0.051102832392580066,6.170055785884258e-25,1.200166462922439e-24,-0.06079300360096297,-0.041403029439268164,Mettl24
ENSMUSG00000028546,-0.05110315129507786,6.1659171545788545e-25,1.1995947771554192e-24,-0.060793322156771676,-0.041403348628663766,Elavl4
ENSMUSG00000060176,-0.05110548644535871,6.13569589212112e-25,1.1939474396032535e-24,-0.06079565476837593,-0.0414056858798022,Kif27
ENSMUSG00000050010,-0.051115420881208136,6.008757352910211e-25,1.169473988499457e-24,-0.060805578402744004,-0.04141562925452196,Shisa3
ENSMUSG00000030510,-0.05112583369945623,5.878498829972841e-25,1.144344720648791e-24,-0.06081597989732045,-0.04142605144414472,Cers3
ENSMUSG00000064326,-0.051126903170445416,5.865279831918228e-25,1.1419937367442034e-24,-0.060817048205168305,-0.041427121877760716,Siva1
ENSMUSG00000057123,-0.05113961134040005,5.710439242893039e-25,1.1120621699889072e-24,-0.060829742552200076,-0.041439841487995566,Gja5
ENSMUSG00000038115,-0.05115051207996869,5.580852847450447e-25,1.087037952366663e-24,-0.06084063143232529,-0.04145075204324582,Ano2
ENSMUSG00000030208,-0.05115798047659343,5.493755924571189e-25,1.0702816919094466e-24,-0.06084809170238763,-0.041458227166199506,Emp1
ENSMUSG00000090877,-0.05116198885643013,5.447566740088167e-25,1.0614900117085283e-24,-0.0608520957201524,-0.04146223915658703,Hspa1b
ENSMUSG00000026170,-0.05116390812769897,5.425587110643458e-25,1.0574131963834454e-24,-0.060854012902686584,-0.04146416015675151,Cyp27a1
ENSMUSG00000029361,-0.051168301819404245,5.375600515956066e-25,1.0478753442409485e-24,-0.0608584018124869,-0.041468557806601046,Nos1
ENSMUSG00000064202,-0.051168639433309605,5.371778449001281e-25,1.0473344607138391e-24,-0.06085873905893232,-0.04146889572466813,4430402I18Rik
ENSMUSG00000041741,-0.05116894822525898,5.368285027928693e-25,1.0468574547442848e-24,-0.060859047514789696,-0.04146920479481501,Pde3a
ENSMUSG00000039911,-0.0511702512377894,5.353568576847007e-25,1.0441912574306625e-24,-0.06086034910908898,-0.041470508981278756,Spsb1
ENSMUSG00000019945,-0.051175360997574124,5.296242790844215e-25,1.0332116252134639e-24,-0.060865453306966445,-0.04147562334495847,1700040L02Rik
ENSMUSG00000031748,-0.05118045514063205,5.239697699223226e-25,1.0223800388728247e-24,-0.060870541904611254,-0.04148072207834668,Gnao1
ENSMUSG00000019814,-0.051186533125126346,5.173014102517733e-25,1.0097626590899342e-24,-0.060876613272037354,-0.04148680554037137,Ltv1
ENSMUSG00000048534,-0.05119281774420389,5.104947668790108e-25,9.966707670421922e-25,-0.06088289104833076,-0.04149309582395639,Amica1
ENSMUSG00000029819,-0.051195844734026795,5.072480830187327e-25,9.905254501439812e-25,-0.06088591474204982,-0.04149612554236643,Npy
ENSMUSG00000028669,-0.051209213373124236,4.931521613595594e-25,9.631878151553893e-25,-0.060899268821844356,-0.04150950623434712,Pithd1
ENSMUSG00000021876,-0.051212986395839454,4.892445876854084e-25,9.55742503780833e-25,-0.06090303773486887,-0.04151328265936964,Rnase4
ENSMUSG00000104301,-0.0512135869996683,4.88625402398796e-25,9.54719426336061e-25,-0.06090363768447633,-0.041513883804816035,Wdr49
ENSMUSG00000064294,-0.05121682696501623,4.852985670458765e-25,9.484044695053281e-25,-0.060906874120497514,-0.0415171266920481,Aox3
ENSMUSG00000019970,-0.05121909892425235,4.829790887888943e-25,9.440560766006532e-25,-0.06090914360474413,-0.041519400700317434,Sgk1
ENSMUSG00000050730,-0.05122033823258776,4.8171849335756e-25,9.417761355964028e-25,-0.06091038156298001,-0.04152064112640184,Arhgap42
ENSMUSG00000079414,-0.05122767542548379,4.743217792072806e-25,9.274966351335171e-25,-0.06091771076214502,-0.041527984937424225,Gm11110
ENSMUSG00000060275,-0.051237384867991266,4.647063086123282e-25,9.088721075930534e-25,-0.060927409624794704,-0.04153770313943134,Nrg2
ENSMUSG00000041762,-0.051237777667086905,4.643214029336179e-25,9.082969540954967e-25,-0.06092780199583976,-0.0415380962929344,Gpr155
ENSMUSG00000027520,-0.05123964815739562,4.624928300453352e-25,9.048969478484353e-25,-0.06092967044775123,-0.04153996847095538,Zdbf2
ENSMUSG00000057132,-0.051239756891877396,4.623867520122943e-25,9.04866442294118e-25,-0.060929779063735735,-0.041540077303548556,Rpgrip1
ENSMUSG00000048827,-0.0512446663542898,4.576222649266442e-25,8.9571788006781e-25,-0.06093468317564818,-0.04154499119602155,Pkd1l3
ENSMUSG00000025867,-0.05124654013141,4.558166741329002e-25,8.923584066814803e-25,-0.06093655491053866,-0.041546866664071,Cplx2
ENSMUSG00000022091,-0.051249354408059715,4.53118063014731e-25,8.87248997483319e-25,-0.06093936611978016,-0.04154968348050161,Sorbs3
ENSMUSG00000072568,-0.05125898148124518,4.440058055731803e-25,8.6957658749154e-25,-0.06094898269881801,-0.041559319242931485,Fam84b
ENSMUSG00000024454,-0.05126393914200105,4.393843292287414e-25,8.606940827203553e-25,-0.06095393495469346,-0.041564281379097595,Hdac3
ENSMUSG00000038077,-0.05126654238599437,4.36976731749579e-25,8.561456343056016e-25,-0.060956535360418854,-0.04156688697329905,Kcna6
ENSMUSG00000024778,-0.0512699339726784,4.338596387005965e-25,8.50205053303148e-25,-0.06095992324912244,-0.04157028162210475,Fas
ENSMUSG00000024856,-0.05127735588277188,4.2711506294087025e-25,8.371522205818704e-25,-0.06096733706603635,-0.04157771023391144,Cdk2ap2
ENSMUSG00000002983,-0.05129279801946016,4.1341336044896714e-25,8.104555194059344e-25,-0.06098276236050817,-0.041593166317720844,Relb
ENSMUSG00000098206,-0.05129940443231126,4.0768540530981593e-25,7.993831476663057e-25,-0.060989361566554455,-0.041599778698809174,A430106G13Rik
ENSMUSG00000053965,-0.051300467997643796,4.0677064081346574e-25,7.977459125582775e-25,-0.06099042397158548,-0.04160084322504665,Pde5a
ENSMUSG00000025169,-0.05130925377895159,3.9929143798148276e-25,7.832315378216609e-25,-0.06099920016716484,-0.041609636944932686,Ogfod3
ENSMUSG00000072694,-0.051312747436484146,3.9635535060260138e-25,7.776247804641972e-25,-0.06100269001252531,-0.04161313375965088,1500011B03Rik
ENSMUSG00000019734,-0.051321322529629565,3.8923918181052507e-25,7.638131511195546e-25,-0.06101125574778738,-0.04162171660303514,Tmc4
ENSMUSG00000027699,-0.05133140870643537,3.8103090312894853e-25,7.478526067300266e-25,-0.061021330915857964,-0.041631811897641625,Ect2
ENSMUSG00000027350,-0.05133236681116378,3.8026016168962963e-25,7.464863794456806e-25,-0.06102228797474342,-0.04163277086858991,Chgb
ENSMUSG00000037362,-0.05133277328795939,3.799336408471861e-25,7.459918335896056e-25,-0.06102269400783382,-0.04163317771288548,Nov
ENSMUSG00000032898,-0.051336994172457504,3.7655940261849343e-25,7.39657046981916e-25,-0.061026910284675384,-0.04163740241371996,Fbxo21
ENSMUSG00000032572,-0.051341450050011436,3.730295244215904e-25,7.328674350129477e-25,-0.0610313612976714,-0.0416418623204569,Col6a4
ENSMUSG00000033871,-0.05134620025390431,3.6930258883858455e-25,7.256879324790421e-25,-0.061036106315260845,-0.04164661682010012,Ppargc1b
ENSMUSG00000029022,-0.05134971547236259,3.6656838049011667e-25,7.204567226613928e-25,-0.06103961769549883,-0.04165013521775758,Miip
ENSMUSG00000061322,-0.05135915963549544,3.5932145842192753e-25,7.063523853389571e-25,-0.06104905154548773,-0.0416595879234786,Dnaic1
ENSMUSG00000015542,-0.05137284134808886,3.4907399270325303e-25,6.863428877374224e-25,-0.06106271831440969,-0.041673282014757264,Nat9
ENSMUSG00000036422,-0.05137942662985846,3.442454507446159e-25,6.769822040208769e-25,-0.06106929640219625,-0.04167987325593467,Pcdh8
ENSMUSG00000068105,-0.0513832986582112,3.4143731340827463e-25,6.715918831791397e-25,-0.06107316420022216,-0.041683748788707155,Tnfrsf13c
ENSMUSG00000029119,-0.05139129917450052,3.3570674945736543e-25,6.60450028442584e-25,-0.0610811559747449,-0.041691756546872,Man2b2
ENSMUSG00000024158,-0.05139455388521088,3.3340284944531526e-25,6.560465357050674e-25,-0.06108440712883909,-0.04169501420402504,Hagh
ENSMUSG00000027577,-0.05141611230351855,3.1853302512836615e-25,6.2691010653093125e-25,-0.06110594198378809,-0.041716592144065055,Chrna4
ENSMUSG00000073705,-0.05141957145832869,3.162090617612752e-25,6.225813383762063e-25,-0.06110939735690097,-0.041720054432076055,Apitd1
ENSMUSG00000064310,-0.05142163480349474,3.1483085295476856e-25,6.199898640306588e-25,-0.061111458446218486,-0.041722119646270484,Zpld1
ENSMUSG00000034842,-0.051426729696633665,3.114531683070128e-25,6.135799218026256e-25,-0.06111654776877344,-0.041727219154842905,Art3
ENSMUSG00000040562,-0.0514275540494111,3.1091004488042397e-25,6.126306303062542e-25,-0.06111737122018405,-0.041728044254444124,Gstm2
ENSMUSG00000044951,-0.05142951806955638,3.0961983227013017e-25,6.102085775919003e-25,-0.06111933309277011,-0.041730010053950085,Mylk4
ENSMUSG00000047146,-0.05143103046786236,3.086299180679803e-25,6.083775242814514e-25,-0.06112084383729207,-0.0417315238225081,Tet1
ENSMUSG00000057342,-0.05144231132530833,3.0134450283654054e-25,5.942506464928821e-25,-0.06113211235789525,-0.04174281490195867,Sphk2
ENSMUSG00000059182,-0.051443844741276695,3.003674389252558e-25,5.924407079393606e-25,-0.06113364409671601,-0.04174434970760356,Skap2
ENSMUSG00000017756,-0.05145409997738541,2.939132132499501e-25,5.798248436574276e-25,-0.061143888115161645,-0.04175461423881922,Slc12a7
ENSMUSG00000038910,-0.051458817568339865,2.9099049116442596e-25,5.741722398666653e-25,-0.0611486005451061,-0.0417593361063757,Plcl2
ENSMUSG00000031629,-0.05146875754025625,2.8492624977271134e-25,5.623174457720768e-25,-0.061158529641351975,-0.04176928509051784,Cenpu
ENSMUSG00000020644,-0.051469850089369835,2.8426738766014764e-25,5.611278872091346e-25,-0.061159620994952424,-0.041770378630324914,Id2
ENSMUSG00000047143,-0.051474581665436,2.814313926552711e-25,5.556394721723024e-25,-0.061164347393261875,-0.0417751144971224,Dmrta2
ENSMUSG00000020186,-0.05148507407684747,2.7524212107219823e-25,5.436344480983572e-25,-0.061174828321292785,-0.04178561642491374,Csrp2
ENSMUSG00000032186,-0.0514879995694947,2.735406067435191e-25,5.403804953447631e-25,-0.06117775061176453,-0.04178854457129875,Tmod2
ENSMUSG00000036030,-0.05149796172324532,2.6782426090186495e-25,5.291923748307942e-25,-0.061187701859929854,-0.041798515763048445,Prtg
ENSMUSG00000021263,-0.05149809110810967,2.6775080321475716e-25,5.291517850094014e-25,-0.06118783110314373,-0.04179864526530778,Degs2
ENSMUSG00000006360,-0.05151479918772038,2.5843070777515874e-25,5.108335793144075e-25,-0.06120452088802701,-0.0418153685074268,Crip1
ENSMUSG00000101895,-0.051523350447644445,2.537857609141609e-25,5.017512078176371e-25,-0.061213062782542405,-0.04182392752968395,Gm28981
ENSMUSG00000030638,-0.051531525612392666,2.4942249041661895e-25,4.93222247214987e-25,-0.06122122899245736,-0.04183211011669913,Sh3gl3
ENSMUSG00000064341,-0.05153185380740897,2.49248886062887e-25,4.929764360421024e-25,-0.06122155682795149,-0.04183243860971226,mt-Nd1
ENSMUSG00000025400,-0.05153300222485268,2.4864235309226413e-25,4.918740911815315e-25,-0.06122270398734153,-0.04183358806992063,Tac2
