,Mixed_2_corr,Mixed_2_pval,Mixed_2_qval,Mixed_2_ci_low,Mixed_2_ci_high,gene_annotation
ENSMUSG00000011008,-0.07189321876332215,8.950616515732689e-48,1.219097863760922e-47,-0.08155659410742033,-0.062216327887172455,Mcoln2
ENSMUSG00000026584,-0.0718983434341505,8.816007045314269e-48,1.2009272640395407e-47,-0.08156171113943003,-0.06222145924342025,Scyl3
ENSMUSG00000029279,-0.07196761973769247,7.182276903310278e-48,9.785118396880489e-48,-0.0816308841299348,-0.062290825971972594,Brdt
ENSMUSG00000033577,-0.07203173029969442,5.94036115262741e-48,8.097547917976294e-48,-0.08169489899972401,-0.062355020299533666,Myo6
ENSMUSG00000020485,-0.07212370366738338,4.522742147678237e-48,6.168497200870481e-48,-0.08178673494759853,-0.0624471139775799,Supt4a
ENSMUSG00000020377,-0.07214125681043221,4.2932462684003526e-48,5.856290094666966e-48,-0.08180426184539043,-0.06246469010061951,Ltc4s
ENSMUSG00000020609,-0.07217823517015755,3.8470126416817053e-48,5.2483119258959144e-48,-0.0818411848959411,-0.06250171689082334,Apob
ENSMUSG00000023915,-0.07222329032215026,3.3652544883021736e-48,4.592323264604495e-48,-0.08188617262231279,-0.06254683108745121,Tnfrsf21
ENSMUSG00000091625,-0.07223510565426278,3.2491828651547914e-48,4.434533731615656e-48,-0.08189797026610993,-0.06255866191006404,Lsm5
ENSMUSG00000020593,-0.07223553527724907,3.2450382585880904e-48,4.429481652454396e-48,-0.08189839924587185,-0.06255909209635914,Lpin1
ENSMUSG00000046516,-0.0724738765522669,1.5965508162566302e-48,2.1822728489019002e-48,-0.08213638312833996,-0.06279774643160785,Cox17
ENSMUSG00000028999,-0.07251495874039901,1.4124863922991417e-48,1.9317374074112988e-48,-0.08217740360242656,-0.06283888269282455,Rint1
ENSMUSG00000069041,-0.07270386776744008,8.034719516054205e-49,1.099742611012073e-48,-0.08236602842717573,-0.06302804078836509,Slc25a31
ENSMUSG00000052102,-0.07309593430024112,2.4798113591555137e-49,3.3979328023506628e-49,-0.0827575029101966,-0.06342062646278869,Gnpda1
ENSMUSG00000059434,-0.07331929540341782,1.2656739560979191e-49,1.7357020791249578e-49,-0.08298052538818698,-0.06364428466091701,Gckr
ENSMUSG00000035041,-0.07334780524536236,1.1613793061513916e-49,1.5933314668011957e-49,-0.08300899193832158,-0.06367283249404482,Creb3l3
ENSMUSG00000018995,-0.07341684983906031,9.428996961245e-50,1.294125303492314e-49,-0.08307793162340998,-0.06374196915967541,Nars2
ENSMUSG00000068417,-0.07373264514682963,3.6258254372192596e-50,4.981213679378019e-50,-0.08339324592279691,-0.06405818676865659,Pnp2
ENSMUSG00000024391,-0.07383329483032139,2.671429317997205e-50,3.673077571837213e-50,-0.08349374189368887,-0.06415897145545993,Apom
ENSMUSG00000110027,-0.07390261986376026,2.164026961686306e-50,2.97706281701239e-50,-0.083562960939376,-0.0642283895906448,C030029H02Rik
ENSMUSG00000037730,-0.07400226931913009,1.5981384069507794e-50,2.1988695747809294e-50,-0.08366245788211936,-0.06432817303669479,Mynn
ENSMUSG00000027865,-0.07419339401405163,8.925191954643013e-51,1.2290267081579472e-50,-0.08385328952336882,-0.06451955526307789,Gdap2
ENSMUSG00000039481,-0.07427788669272595,6.89545785319394e-51,9.496567763660571e-51,-0.08393765242260195,-0.06460416201846267,Nrtn
ENSMUSG00000032080,-0.0743034538613916,6.377207693035132e-51,8.784032635034617e-51,-0.08396318029320332,-0.06462976373372346,Apoa4
ENSMUSG00000022876,-0.07431738956891457,6.111252834729372e-51,8.420023194722199e-51,-0.08397709457548205,-0.0646437182766657,Samsn1
ENSMUSG00000090150,-0.07438070276490162,5.035412353950557e-51,6.938696918768853e-51,-0.08404031038411312,-0.06470711709403107,Acad11
ENSMUSG00000073643,-0.07438362326475569,4.9906162193142943e-51,6.878864533858434e-51,-0.08404322638982452,-0.06471004154529703,Wdfy1
ENSMUSG00000031803,-0.07447426816510838,3.781165437260992e-51,5.213243398953526e-51,-0.08413373172114515,-0.06480080917005433,B3gnt3
ENSMUSG00000046338,-0.07453773019922653,3.1128180321351873e-51,4.294134407690974e-51,-0.08419709594576417,-0.06486435722087466,Gpat2
ENSMUSG00000090086,-0.07454598963758748,3.034971233098266e-51,4.1873223414711174e-51,-0.08420534264869776,-0.06487262785988247,AI480526
ENSMUSG00000033538,-0.07456671017565893,2.8481016746621e-51,3.930042327393542e-51,-0.08422603123144778,-0.06489337650298113,Casp4
ENSMUSG00000024410,-0.07456842252612154,2.8331811796338976e-51,3.909993347548851e-51,-0.08422774094074209,-0.06489509117642442,3110002H16Rik
ENSMUSG00000061533,-0.0747106475574949,1.830722389512237e-51,2.527923763480029e-51,-0.08436974640245125,-0.065037509350181,Cep128
ENSMUSG00000051022,-0.07497289114538173,8.165387098478738e-52,1.1287513268563364e-51,-0.08463158410508963,-0.06530011009950386,Hs3st1
ENSMUSG00000019767,-0.07514865139974346,4.745431604016305e-52,6.563529189510796e-52,-0.08480707158142939,-0.06547611047960397,Ccdc170
ENSMUSG00000037106,-0.07518112274115184,4.29209809128139e-52,5.938154525845864e-52,-0.08483949246209065,-0.06550862624960582,Fer1l6
ENSMUSG00000020925,-0.07535047426588305,2.540612743541815e-52,3.5154458883932685e-52,-0.08500858048160528,-0.06567820982082598,Ccdc43
ENSMUSG00000002897,-0.07540440997813416,2.1493220036231805e-52,2.974840143423087e-52,-0.08506243215492511,-0.06573221955342827,Il17ra
ENSMUSG00000038733,-0.07557502765916772,1.2652620660378227e-52,1.7524405346784247e-52,-0.08523278361961728,-0.06590307176013935,Wdr26
ENSMUSG00000028456,-0.07591117315796479,4.438856980728619e-53,6.153967809134366e-53,-0.08556840297546713,-0.06623968097325413,Unc13b
ENSMUSG00000027580,-0.07613610370305225,2.1965181156447957e-53,3.0473336787524913e-53,-0.08579298022998866,-0.06646492304044385,Helz2
ENSMUSG00000020131,-0.07633387001454756,1.1812585724552592e-53,1.6399535921911135e-53,-0.08599043510613437,-0.06666296406669317,Pcsk4
ENSMUSG00000000290,-0.07656246975547436,5.755430750265031e-54,7.996985897269739e-54,-0.08621867391110266,-0.06689188230215157,Itgb2
ENSMUSG00000034918,-0.07661533033443914,4.872326577972202e-54,6.771822901976653e-54,-0.08627145088425382,-0.06694481667357283,Cdhr2
ENSMUSG00000039745,-0.07664520348397075,4.434368228639681e-54,6.166552953191046e-54,-0.08630127676158385,-0.06697473154958146,Htatip2
ENSMUSG00000040693,-0.07683004788650562,2.4738374286888485e-54,3.443537623453297e-54,-0.08648582827568593,-0.06715983452730746,Slco4c1
ENSMUSG00000020080,-0.07708514996772801,1.1029658212394868e-54,1.536806216022693e-54,-0.08674052505585697,-0.06741529455907745,Hkdc1
ENSMUSG00000042333,-0.07749334212559013,3.0115476880722312e-55,4.199620259478777e-55,-0.08714806606059022,-0.06782406211575027,Tnfrsf14
ENSMUSG00000061808,-0.07752406588661792,2.730450709754203e-55,3.808159985710186e-55,-0.0871787406799252,-0.06785482931719486,Ttr
ENSMUSG00000046836,-0.07753998606404493,2.5952347924769606e-55,3.620584252897546e-55,-0.08719463538632621,-0.06787077201144173,Brox
ENSMUSG00000032350,-0.0775532040176008,2.488052145366402e-55,3.472023646897017e-55,-0.08720783218846584,-0.06788400866365918,Gclc
ENSMUSG00000042684,-0.07756319409968883,2.4099794152020373e-55,3.3635441942805824e-55,-0.08721780628214063,-0.0678940128803874,Npl
ENSMUSG00000019173,-0.07762932540323879,1.951240133548403e-55,2.7236741115974355e-55,-0.0872838316984428,-0.06796023779999308,Rab5c
ENSMUSG00000034858,-0.07767536712619684,1.6842994190350242e-55,2.3513882717227754e-55,-0.08732979965083855,-0.06800634475033088,Fam214a
ENSMUSG00000044968,-0.07786896322483393,9.064647059572576e-56,1.266012159158181e-55,-0.08752308510934301,-0.06820021556879631,Napepld
ENSMUSG00000021278,-0.07791242005810488,7.886056132382847e-56,1.1017122286089477e-55,-0.08756647211281597,-0.06824373416923013,Amn
ENSMUSG00000021451,-0.07799733517988741,6.005670644362465e-56,8.394842947109959e-56,-0.0876512506807101,-0.06832877009090649,Sema4d
ENSMUSG00000026307,-0.07815214953121827,3.6521581393909696e-56,5.106485094226748e-56,-0.08780581571174911,-0.06848380504202549,Scly
ENSMUSG00000032359,-0.07818439813813537,3.292295756039895e-56,4.604609449006846e-56,-0.08783801232549782,-0.06851609965975294,Ctsh
ENSMUSG00000106317,-0.07826136066506219,2.5698502106132677e-56,3.5962079633546986e-56,-0.0879148506872432,-0.06859317207510873,Gm43848
